scenario,language,test,nice,affinity,mode,iteration,time,pkg,cores,gpu,ram,psys,cycles,l1d_misses,l1i_misses,llc_misses,branch_misses,c1_core_residency,c3_core_residency,c6_core_residency,c7_core_residency,c2_pkg_residency,c3_pkg_residency,c6_pkg_residency,c8_pkg_residency,c10_pkg_residency,ended
polynomial-evaluation,c,optimized,,"4,5",internal,1,4872324,65.029,11.109,,2.722,,7777104002,34781,50256,1898,1387285,,0,0,0,0,0,0,0,0,1763381080920335
polynomial-evaluation,c,optimized,,"4,5",internal,2,4871986,65.903,11.993,,2.714,,7776622124,28260,29636,457,1384560,,0,0,0,0,0,0,0,0,1763381085792479
polynomial-evaluation,c,optimized,,"4,5",internal,3,4871696,64.975,11.076,,2.713,,7776209703,28016,27864,486,1384252,,0,0,0,0,0,0,0,0,1763381090664343
polynomial-evaluation,c,optimized,,"4,5",internal,4,4872357,64.746,10.837,,2.712,,7777255454,32148,39726,491,1385373,,0,0,0,0,0,0,0,0,1763381095536847
polynomial-evaluation,c,optimized,,"4,5",internal,5,4872800,65.074,11.151,,2.712,,7778003547,32769,41798,409,1385485,,0,0,0,0,0,0,0,0,1763381100409787
polynomial-evaluation,c,optimized,,"4,5",external,1,4872850,65.197,11.27,,2.716,,7777067710,33998,46862,977,1386234,,0,0,0,0,0,0,0,0,1763381105760160
polynomial-evaluation,c,optimized,,"4,5",external,2,4874737,65.153,11.207,,2.714,,7780126863,32187,43723,451,1389180,,0,0,0,0,0,0,0,0,1763381110641852
polynomial-evaluation,c,optimized,,"4,5",external,3,4874063,64.915,10.98,,2.715,,7779080540,32234,44889,644,1386482,,0,0,0,0,0,0,0,0,1763381115522818
polynomial-evaluation,c,optimized,,"4,5",external,4,4873209,64.689,10.766,,2.713,,7777729747,32495,45047,486,1386425,,0,0,0,0,0,0,0,0,1763381120402979
polynomial-evaluation,c,optimized,,"4,5",external,5,4872836,64.631,10.706,,2.713,,7777149772,34211,48570,389,1386172,,0,0,0,0,0,0,0,0,1763381125282712
division-loop,c,optimized,,"4,5",internal,1,1366516,18.353,3.224,,0.761,,2180562124,9927,20039,380,109089,,0,0,0,0,0,0,0,0,1763381127005153
division-loop,c,optimized,,"4,5",internal,2,1366481,18.231,3.103,,0.761,,2180533796,9460,19517,15,109034,,0,0,0,0,0,0,0,0,1763381128371779
division-loop,c,optimized,,"4,5",internal,3,1366324,18.388,3.273,,0.762,,2180307444,8865,15117,80,108450,,0,0,0,0,0,0,0,0,1763381129738240
division-loop,c,optimized,,"4,5",internal,4,1366350,18.238,3.123,,0.761,,2180324200,8856,15103,97,108632,,0,0,0,0,0,0,0,0,1763381131104726
division-loop,c,optimized,,"4,5",internal,5,1366448,18.166,3.052,,0.76,,2180502675,9452,18582,8,108930,,0,0,0,0,0,0,0,0,1763381132471315
division-loop,c,optimized,,"4,5",external,1,1366872,18.206,3.09,,0.761,,2180218126,8810,14621,293,108435,,0,0,0,0,0,0,0,0,1763381134193934
division-loop,c,optimized,,"4,5",external,2,1367472,18.231,3.104,,0.764,,2181203871,11972,30838,452,109884,,0,0,0,0,0,0,0,0,1763381135568208
division-loop,c,optimized,,"4,5",external,3,1366789,18.146,3.03,,0.76,,2180151912,8588,14981,69,108339,,0,0,0,0,0,0,0,0,1763381136941841
division-loop,c,optimized,,"4,5",external,4,1366896,18.248,3.118,,0.76,,2180303467,9070,17293,19,108561,,0,0,0,0,0,0,0,0,1763381138315454
division-loop,c,optimized,,"4,5",external,5,1366915,18.267,3.152,,0.761,,2180336676,9307,18195,158,108497,,0,0,0,0,0,0,0,0,1763381139689101
matrix-multiplication,c,optimized,,"4,5",internal,1,37885594,519.389,100.129,,21.093,,60480397809,1011634304,259142,5000,43192415,,0,0,0,0,0,0,0,0,1763381178038045
matrix-multiplication,c,optimized,,"4,5",internal,2,37883042,524.253,105.034,,21.088,,60476916533,1011020906,222827,6033,43193111,,0,0,0,0,0,0,0,0,1763381215921243
matrix-multiplication,c,optimized,,"4,5",internal,3,37850696,524.206,105.34,,21.069,,60425784299,1010982598,234894,3538,43187907,,0,0,0,0,0,0,0,0,1763381253772088
matrix-multiplication,c,optimized,,"4,5",internal,4,37856104,525.241,106.328,,21.074,,60434875223,1011086784,288132,3482,43192693,,0,0,0,0,0,0,0,0,1763381291628337
matrix-multiplication,c,optimized,,"4,5",internal,5,37863816,526.194,107.2,,21.079,,60447551199,1011116690,281718,4520,43192071,,0,0,0,0,0,0,0,0,1763381329492302
matrix-multiplication,c,optimized,,"4,5",external,1,37889614,526.377,107.105,,21.101,,60488041935,1011594250,289323,6070,43195272,,0,0,0,0,0,0,0,0,1763381367841959
matrix-multiplication,c,optimized,,"4,5",external,2,37912641,527.109,107.609,,21.126,,60525082475,1011471888,283176,10571,43197615,,0,0,0,0,0,0,0,0,1763381405761563
matrix-multiplication,c,optimized,,"4,5",external,3,37888812,524.32,105.066,,21.099,,60487240363,1011540523,299061,6348,43221027,,0,0,0,0,0,0,0,0,1763381443657301
matrix-multiplication,c,optimized,,"4,5",external,4,37874915,525.003,105.906,,21.086,,60465299703,1011531647,295191,4576,43195132,,0,0,0,0,0,0,0,0,1763381481539119
matrix-multiplication,c,optimized,,"4,5",external,5,37844079,523.545,104.78,,21.069,,60416283952,1011750748,286679,5299,43192002,,0,0,0,0,0,0,0,0,1763381519390101
