language,scenario,time_mean,time_cv%,pkg_mean,pkg_cv%,cores_mean,cores_cv%,gpu_mean,gpu_cv%,ram_mean,ram_cv%,psys_mean,psys_cv%,cycles_mean,cycles_cv%,l1d_misses_mean,l1d_misses_cv%,l1i_misses_mean,l1i_misses_cv%,llc_misses_mean,llc_misses_cv%,branch_misses_mean,branch_misses_cv%,c1_core_residency_mean,c1_core_residency_cv%,c3_core_residency_mean,c3_core_residency_cv%,c6_core_residency_mean,c6_core_residency_cv%,c7_core_residency_mean,c7_core_residency_cv%,c2_pkg_residency_mean,c2_pkg_residency_cv%,c3_pkg_residency_mean,c3_pkg_residency_cv%,c6_pkg_residency_mean,c6_pkg_residency_cv%,c8_pkg_residency_mean,c8_pkg_residency_cv%,c10_pkg_residency_mean,c10_pkg_residency_cv%
c,binary-trees,959561.4,1.322,46.704,0.975,35.916,0.877,0.0,0.0,1.165,1.127,0.0,0.0,18374185811.75,1.322,184688012.05,0.3,5587621.117,10.942,3851507.417,4.205,3579091.333,5.732,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
c,division-loop,1364508.833,0.004,18.958,0.067,3.86,0.294,0.0,0.0,0.76,0.104,0.0,0.0,1088803095.483,0.003,6122.967,3.127,17797.467,3.708,186.367,48.451,1105.683,19.23,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
c,fannkuch-redux,4656620.65,0.85,235.272,0.732,183.722,0.71,0.0,0.0,2.596,1.611,0.0,0.0,89197050879.883,0.85,2124964.467,211.208,5137101.25,72.369,62513.033,511.468,2252265977.233,0.062,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
c,fasta,600303.367,6.182,21.381,5.791,14.733,5.617,0.0,0.0,0.364,6.298,0.0,0.0,11492110736.35,6.186,11780916.333,1.836,4636255.917,9.079,53785.633,19.396,1449307.433,5.833,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
c,k-nucleotide,632551.083,1.081,28.901,0.795,21.898,0.699,0.0,0.0,0.416,2.538,0.0,0.0,12109821272.517,1.082,264040417.167,3.778,2213521.8,22.636,784970.767,20.538,35950732.133,0.255,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
c,mandelbrot,975762.383,0.819,47.791,0.57,36.983,0.497,0.0,0.0,0.567,1.043,0.0,0.0,18684410830.133,0.819,36756126.933,0.747,4522890.3,13.333,191470.05,6.019,4532418.717,2.029,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
c,matrix-multiplication,37953144.167,0.095,527.2,0.126,107.207,0.42,0.0,0.0,21.131,0.098,0.0,0.0,30293303673.133,0.095,1011013602.4,0.007,31201.1,3.278,9083.95,27.458,40209616.417,0.088,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
c,n-body,11352955.317,0.009,157.89,0.024,32.258,0.108,0.0,0.0,6.32,0.019,0.0,0.0,9061472790.633,0.009,6180.633,3.208,15347.3,4.249,1105.033,10.682,1076.9,9.86,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
c,pidigits,3186556.383,0.151,44.315,0.161,9.053,0.244,0.0,0.0,1.775,0.171,0.0,0.0,2543142650.617,0.151,252085271.433,0.007,117654.45,3.075,768.95,48.145,789663.517,0.866,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
c,polynomial-evaluation,4870603.583,0.05,66.818,0.561,12.919,2.87,0.0,0.0,2.712,0.06,0.0,0.0,3887350424.683,0.05,6117.633,2.887,16512.733,3.022,730.95,17.22,1000681.917,0.02,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
