scenario,language,test,nice,affinity,mode,iteration,time,pkg,cores,gpu,ram,psys,cycles,l1d_misses,l1i_misses,llc_misses,branch_misses,c1_core_residency,c3_core_residency,c6_core_residency,c7_core_residency,c2_pkg_residency,c3_pkg_residency,c6_pkg_residency,c8_pkg_residency,c10_pkg_residency,ended
division-loop,rust,release,-20,4,process,1,1364341,18.978,3.868,,0.764,,1088657463,7463,18129,674,2661,,0,0,0,0,0,0,0,0,1763541629725879
division-loop,rust,release,-20,4,process,2,1364609,18.966,3.87,,0.765,,1088881266,9046,25966,1060,2946,,0,0,0,0,0,0,0,0,1763541631096373
division-loop,rust,release,-20,4,process,3,1364466,18.962,3.853,,0.76,,1088774866,7836,21086,125,2007,,0,0,0,0,0,0,0,0,1763541632466714
division-loop,rust,release,-20,4,process,4,1364540,18.958,3.849,,0.762,,1088835313,7788,21665,327,1797,,0,0,0,0,0,0,0,0,1763541633836944
division-loop,rust,release,-20,4,process,5,1364494,18.953,3.859,,0.759,,1088788864,8722,24218,172,2060,,0,0,0,0,0,0,0,0,1763541635207253
division-loop,rust,release,-20,4,process,6,1364509,18.89,3.795,,0.759,,1088802430,7915,21410,57,1603,,0,0,0,0,0,0,0,0,1763541636577414
division-loop,rust,release,-20,4,process,7,1364602,18.935,3.825,,0.759,,1088886382,8963,24397,18,1986,,0,0,0,0,0,0,0,0,1763541637947691
division-loop,rust,release,-20,4,process,8,1364495,18.953,3.858,,0.761,,1088803263,7776,21038,351,1497,,0,0,0,0,0,0,0,0,1763541639317871
division-loop,rust,release,-20,4,process,9,1364436,18.933,3.839,,0.759,,1088739669,7788,20728,65,1402,,0,0,0,0,0,0,0,0,1763541640688063
division-loop,rust,release,-20,4,process,10,1364578,18.952,3.857,,0.761,,1088860059,8727,24344,79,1846,,0,0,0,0,0,0,0,0,1763541642058316
division-loop,cs,release,-20,4,process,1,1578605,22.043,4.566,,0.898,,1259680987,1690746,5047006,43521,793564,,0,0,0,0,0,0,0,0,1763541660060403
division-loop,cs,release,-20,4,process,2,1577393,21.906,4.453,,0.886,,1258724779,1691665,5013826,38738,782810,,0,0,0,0,0,0,0,0,1763541661643780
division-loop,cs,release,-20,4,process,3,1577888,21.9,4.434,,0.885,,1259087460,1694769,5036949,34716,784410,,0,0,0,0,0,0,0,0,1763541663227579
division-loop,cs,release,-20,4,process,4,1577649,21.922,4.455,,0.889,,1258917833,1690478,5026493,40421,782552,,0,0,0,0,0,0,0,0,1763541664811139
division-loop,cs,release,-20,4,process,5,1577700,21.875,4.408,,0.884,,1258953919,1691242,5031463,33754,784685,,0,0,0,0,0,0,0,0,1763541666394727
division-loop,cs,release,-20,4,process,6,1577487,21.77,4.318,,0.884,,1258757559,1690631,5021749,33482,782144,,0,0,0,0,0,0,0,0,1763541667978109
division-loop,cs,release,-20,4,process,7,1577629,21.762,4.297,,0.888,,1258895008,1688767,5030666,39587,782778,,0,0,0,0,0,0,0,0,1763541669561595
division-loop,cs,release,-20,4,process,8,1577363,21.872,4.419,,0.883,,1258686339,1684799,5029375,32987,783064,,0,0,0,0,0,0,0,0,1763541671144835
division-loop,cs,release,-20,4,process,9,1577120,21.875,4.422,,0.884,,1258492415,1686796,5023804,33238,780068,,0,0,0,0,0,0,0,0,1763541672727823
division-loop,cs,release,-20,4,process,10,1577697,21.92,4.457,,0.888,,1258944156,1686793,5036177,39161,781734,,0,0,0,0,0,0,0,0,1763541674311418
polynomial-evaluation,c,optimized,-20,4,process,1,4772390,63.404,10.598,,2.659,,3808930138,10764,31877,726,1003457,,0,0,0,0,0,0,0,0,1763541679321491
polynomial-evaluation,c,optimized,-20,4,process,2,4772424,63.493,10.675,,2.659,,3808960316,12861,36091,691,1003054,,0,0,0,0,0,0,0,0,1763541684099749
polynomial-evaluation,c,optimized,-20,4,process,3,4772540,63.434,10.629,,2.675,,3809048429,11879,33682,1182,1002514,,0,0,0,0,0,0,0,0,1763541688878117
polynomial-evaluation,c,optimized,-20,4,process,4,4772298,63.463,10.643,,2.658,,3808855309,11129,30674,419,1001968,,0,0,0,0,0,0,0,0,1763541693656234
polynomial-evaluation,c,optimized,-20,4,process,5,4772290,63.583,10.776,,2.656,,3808856314,11658,34642,305,1002212,,0,0,0,0,0,0,0,0,1763541698434295
polynomial-evaluation,c,optimized,-20,4,process,6,4772357,63.64,10.82,,2.657,,3808908395,11313,32444,330,1002033,,0,0,0,0,0,0,0,0,1763541703212413
polynomial-evaluation,c,optimized,-20,4,process,7,4772424,63.595,10.775,,2.657,,3808962609,11596,32946,502,1002051,,0,0,0,0,0,0,0,0,1763541707990620
polynomial-evaluation,c,optimized,-20,4,process,8,4772468,63.537,10.718,,2.657,,3808997049,10701,31397,405,1001820,,0,0,0,0,0,0,0,0,1763541712768872
