language,time_mean,time_cv%,pkg_mean,pkg_cv%,cores_mean,cores_cv%,gpu_mean,gpu_cv%,ram_mean,ram_cv%,psys_mean,psys_cv%,cycles_mean,cycles_cv%,l1d_misses_mean,l1d_misses_cv%,l1i_misses_mean,l1i_misses_cv%,llc_misses_mean,llc_misses_cv%,branch_misses_mean,branch_misses_cv%,c1_core_residency_mean,c1_core_residency_cv%,c3_core_residency_mean,c3_core_residency_cv%,c6_core_residency_mean,c6_core_residency_cv%,c7_core_residency_mean,c7_core_residency_cv%,c2_pkg_residency_mean,c2_pkg_residency_cv%,c3_pkg_residency_mean,c3_pkg_residency_cv%,c6_pkg_residency_mean,c6_pkg_residency_cv%,c8_pkg_residency_mean,c8_pkg_residency_cv%,c10_pkg_residency_mean,c10_pkg_residency_cv%
c,7700303.554,131.799,114.357,130.606,29.05,127.554,0.0,0.0,5.913,136.395,0.0,0.0,18732508238.187,130.208,177899822.373,147.473,21263798.696,117.619,1578369.336,170.227,198321022.992,302.251,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
cpp,8844515.508,115.531,131.581,114.511,33.6,112.189,0.0,0.0,6.827,118.29,0.0,0.0,25372219058.126,113.164,213231009.301,130.449,42464476.036,133.387,3034014.219,166.098,218827991.15,293.031,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
cs,18621870.769,162.007,272.77,160.326,66.25,154.747,0.0,0.0,15.442,174.352,0.0,0.0,65592086676.863,219.139,489420423.585,218.514,197221799.409,278.53,16497711.038,302.52,219065734.071,252.508,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
java,13457162.197,97.799,200.334,97.742,51.117,98.513,0.0,0.0,11.1,92.632,0.0,0.0,37759249433.281,123.702,331854163.722,93.662,125118932.676,109.452,7722948.688,149.451,206924922.764,270.802,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
