scenario,language,test,mode,iteration,time,pkg,cores,gpu,dram,psys,cycles,cache_misses,branch_misses,ended
division-loop,c,O3,internal,1,247047166,5.46343994140625,4.03204345703125,0.04473876953125,,8.84039306640625,,,,1761829613480067
division-loop,c,O3,internal,2,249242036,4.9232177734375,3.7125244140625,0.03582763671875,,8.08160400390625,,,,1761829613729389
division-loop,c,O3,internal,3,248211371,4.8826904296875,3.55181884765625,0.04461669921875,,8.12908935546875,,,,1761829613977535
division-loop,c,O3,internal,4,253329273,4.89471435546875,3.60546875,0.04486083984375,,8.087646484375,,,,1761829614230879
division-loop,c,O3,internal,5,245263192,5.99188232421875,4.4483642578125,0.04766845703125,,9.37939453125,,,,1761829614476126
division-loop,c,O3,external,1,243989370,4.79461669921875,3.46551513671875,0.04156494140625,,7.9844970703125,,,,1761829614755137
division-loop,c,O3,external,2,251758612,4.938720703125,3.69293212890625,0.0418701171875,,8.11175537109375,,,,1761829615008073
division-loop,c,O3,external,3,238874331,4.51995849609375,3.22381591796875,0.04052734375,,7.4693603515625,,,,1761829615248320
division-loop,c,O3,external,4,247051717,4.44586181640625,3.14501953125,0.04278564453125,,7.44720458984375,,,,1761829615496816
division-loop,c,O3,external,5,242150456,5.95599365234375,4.46051025390625,0.04388427734375,,9.3465576171875,,,,1761829615739934
matrix-multiplication,c,O3,internal,1,2611429674,62.775146484375,48.93701171875,0.42535400390625,,98.74322509765625,,,,1761829618464218
matrix-multiplication,c,O3,internal,2,2609951223,59.9818115234375,47.07293701171875,0.45526123046875,,93.7137451171875,,,,1761829621074191
matrix-multiplication,c,O3,internal,3,2605032513,61.01605224609375,48.20513916015625,0.46734619140625,,96.42034912109375,,,,1761829623679228
matrix-multiplication,c,O3,internal,4,2623319177,65.14971923828125,50.21490478515625,0.51171875,,102.059326171875,,,,1761829626302595
matrix-multiplication,c,O3,internal,5,2606816687,63.94921875,49.92578125,0.47821044921875,,99.6298828125,,,,1761829628909412
matrix-multiplication,c,O3,external,1,2631097671,64.22796630859375,50.512451171875,0.40380859375,,100.89031982421875,,,,1761829631599649
matrix-multiplication,c,O3,external,2,2609619280,63.2802734375,49.533935546875,0.448974609375,,98.77935791015625,,,,1761829634209802
matrix-multiplication,c,O3,external,3,2647311980,63.733154296875,51.06634521484375,0.437255859375,,98.99609375,,,,1761829636858520
matrix-multiplication,c,O3,external,4,2641203883,61.544921875,49.06353759765625,0.32879638671875,,96.28533935546875,,,,1761829639501114
matrix-multiplication,c,O3,external,5,2602274832,61.928955078125,49.3497314453125,0.34027099609375,,95.6422119140625,,,,1761829642104970
polynomial-evaluation,c,O3,internal,1,788980600,15.280517578125,11.02716064453125,0.1070556640625,,25.5283203125,,,,1761829642940700
polynomial-evaluation,c,O3,internal,2,774036585,15.16607666015625,11.17730712890625,0.09844970703125,,24.99554443359375,,,,1761829643714761
polynomial-evaluation,c,O3,internal,3,773418334,13.13275146484375,9.37493896484375,0.12939453125,,22.4599609375,,,,1761829644488180
polynomial-evaluation,c,O3,internal,4,766091034,12.90362548828125,9.36016845703125,0.1190185546875,,22.0322265625,,,,1761829645254320
polynomial-evaluation,c,O3,internal,5,763449202,12.900390625,9.4891357421875,0.0955810546875,,21.78460693359375,,,,1761829646017768
polynomial-evaluation,c,O3,external,1,767369466,14.70318603515625,10.19061279296875,0.11248779296875,,23.7960205078125,,,,1761829646833103
polynomial-evaluation,c,O3,external,2,783558383,16.04901123046875,11.88189697265625,0.09259033203125,,26.1361083984375,,,,1761829647617842
polynomial-evaluation,c,O3,external,3,771401859,13.60174560546875,10.01959228515625,0.10247802734375,,22.8468017578125,,,,1761829648390744
polynomial-evaluation,c,O3,external,4,763750920,14.12481689453125,10.53424072265625,0.09234619140625,,23.47076416015625,,,,1761829649155938
polynomial-evaluation,c,O3,external,5,772393511,13.65185546875,9.9022216796875,0.10882568359375,,23.00823974609375,,,,1761829649929403
division-loop,cpp,O3,internal,1,259509869,6.4354248046875,4.64501953125,0.04547119140625,,10.2440185546875,,,,1761829650444244
division-loop,cpp,O3,internal,2,258450466,4.8226318359375,3.61065673828125,0.04193115234375,,8.09637451171875,,,,1761829650702678
division-loop,cpp,O3,internal,3,249806398,4.708740234375,3.53411865234375,0.04681396484375,,7.8482666015625,,,,1761829650952483
division-loop,cpp,O3,internal,4,249041813,4.9052734375,3.78363037109375,0.04779052734375,,8.09075927734375,,,,1761829651201581
division-loop,cpp,O3,internal,5,251584582,5.19781494140625,3.97412109375,0.04541015625,,8.3531494140625,,,,1761829651453183
division-loop,cpp,O3,external,1,244994576,5.184326171875,3.85418701171875,0.0540771484375,,8.5020751953125,,,,1761829651871655
division-loop,cpp,O3,external,2,238973544,4.68914794921875,3.46148681640625,0.04296875,,7.78656005859375,,,,1761829652112640
division-loop,cpp,O3,external,3,245586829,4.84228515625,3.49658203125,0.03753662109375,,8.12628173828125,,,,1761829652360188
division-loop,cpp,O3,external,4,239817780,5.06005859375,3.71197509765625,0.04290771484375,,8.25640869140625,,,,1761829652601985
division-loop,cpp,O3,external,5,243577126,5.64971923828125,4.264404296875,0.04254150390625,,9.00830078125,,,,1761829652847099
matrix-multiplication,cpp,O3,internal,1,2672433544,65.96185302734375,51.2940673828125,0.422607421875,,101.50604248046875,,,,1761829655783193
matrix-multiplication,cpp,O3,internal,2,2583127731,62.8331298828125,50.79937744140625,0.35211181640625,,97.14788818359375,,,,1761829658366310
matrix-multiplication,cpp,O3,internal,3,2611238824,62.1885986328125,49.1356201171875,0.341064453125,,95.8624267578125,,,,1761829660977614
matrix-multiplication,cpp,O3,internal,4,2606125386,60.455810546875,48.1427001953125,0.3477783203125,,94.59771728515625,,,,1761829663583685
matrix-multiplication,cpp,O3,internal,5,2628160508,66.68182373046875,54.05059814453125,0.36773681640625,,102.1300048828125,,,,1761829666211868
matrix-multiplication,cpp,O3,external,1,2688462884,68.15521240234375,54.29461669921875,0.4031982421875,,104.4952392578125,,,,1761829669155277
matrix-multiplication,cpp,O3,external,2,2678029147,66.49932861328125,53.75787353515625,0.3797607421875,,102.8292236328125,,,,1761829671835784
matrix-multiplication,cpp,O3,external,3,2612719842,62.48565673828125,49.49102783203125,0.41424560546875,,96.78546142578125,,,,1761829674450184
matrix-multiplication,cpp,O3,external,4,2618714442,64.02313232421875,51.4559326171875,0.45660400390625,,99.572998046875,,,,1761829677071080
matrix-multiplication,cpp,O3,external,5,2599237952,63.29534912109375,51.07012939453125,0.418701171875,,98.45281982421875,,,,1761829679672028
