scenario,language,test,mode,iteration,time,pkg,cores,gpu,dram,psys,cycles,l1d_misses,l1i_misses,llc_misses,branch_misses,ended
n-body,c,O3,internal,29,11860690041,148.3671875,17.106201171875,,6.600830078125,,0,0,0,0,0,1761900055777597
n-body,c,O3,internal,30,11860359982,148.36553955078125,17.1082763671875,,6.59942626953125,,0,0,0,0,0,1761900067637994
n-body,c,O3,internal,31,11860145757,148.36273193359375,17.1131591796875,,6.6004638671875,,0,0,0,0,0,1761900079498161
n-body,c,O3,internal,32,11861746870,148.3740234375,17.1080322265625,,6.6009521484375,,0,0,0,0,0,1761900091359921
n-body,c,O3,internal,33,11860494008,148.28271484375,17.04736328125,,6.5997314453125,,0,0,0,0,0,1761900103220412
n-body,c,O3,internal,34,11860421815,148.3316650390625,17.0933837890625,,6.60003662109375,,0,0,0,0,0,1761900115080874
n-body,c,O3,internal,35,11860246632,148.51483154296875,17.28118896484375,,6.60003662109375,,0,0,0,0,0,1761900126941160
n-body,c,O3,internal,36,11861738478,148.42083740234375,17.1702880859375,,6.60101318359375,,0,0,0,0,0,1761900138802920
n-body,c,O3,internal,37,11861390441,148.38848876953125,17.13958740234375,,6.6007080078125,,0,0,0,0,0,1761900150664321
n-body,c,O3,internal,38,11860340151,148.28399658203125,17.04119873046875,,6.5997314453125,,0,0,0,0,0,1761900162524683
n-body,c,O3,internal,39,11860468839,148.29302978515625,17.0458984375,,6.60052490234375,,0,0,0,0,0,1761900174385172
n-body,c,O3,internal,40,11860904822,148.445556640625,17.20062255859375,,6.60107421875,,0,0,0,0,0,1761900186246092
n-body,c,O3,internal,41,11860335573,148.40966796875,17.16314697265625,,6.6007080078125,,0,0,0,0,0,1761900198106423
n-body,c,O3,internal,42,11860699314,148.371826171875,17.13446044921875,,6.59954833984375,,0,0,0,0,0,1761900209967169
n-body,c,O3,internal,43,11861062127,148.3992919921875,17.1566162109375,,6.6009521484375,,0,0,0,0,0,1761900221828247
n-body,c,O3,internal,44,11860839643,148.35797119140625,17.10028076171875,,6.60009765625,,0,0,0,0,0,1761900233689110
n-body,c,O3,internal,45,11862207590,148.359619140625,17.0875244140625,,6.601318359375,,0,0,0,0,0,1761900245551333
n-body,c,O3,internal,46,11860977721,148.449462890625,17.19879150390625,,6.601318359375,,0,0,0,0,0,1761900257412328
n-body,c,O3,internal,47,11860991321,148.42181396484375,17.171142578125,,6.602294921875,,0,0,0,0,0,1761900269273340
n-body,c,O3,internal,48,11860744045,148.37603759765625,17.12945556640625,,6.600341796875,,0,0,0,0,0,1761900281134101
n-body,c,O3,internal,49,11863338828,148.29046630859375,17.02740478515625,,6.6014404296875,,0,0,0,0,0,1761900292997439
n-body,c,O3,internal,50,11863529299,148.32220458984375,17.0450439453125,,6.603271484375,,0,0,0,0,0,1761900304861022
n-body,c,O3,external,1,11862622605,148.45001220703125,17.19586181640625,,6.6044921875,,0,0,0,0,0,1761900377355244
n-body,c,O3,external,2,11862291908,148.4383544921875,17.171630859375,,6.6026611328125,,0,0,0,0,0,1761900389220999
n-body,c,O3,external,3,11861978410,148.3218994140625,17.0814208984375,,6.6011962890625,,0,0,0,0,0,1761900401086423
n-body,c,O3,external,4,11862105068,148.4453125,17.1749267578125,,6.60223388671875,,0,0,0,0,0,1761900412951956
n-body,c,O3,external,5,11863822203,148.25445556640625,16.97088623046875,,6.60223388671875,,0,0,0,0,0,1761900424819288
n-body,c,O3,external,6,11861937130,148.4227294921875,17.15374755859375,,6.60107421875,,0,0,0,0,0,1761900436684611
n-body,c,O3,external,7,11861512951,148.3795166015625,17.114990234375,,6.6024169921875,,0,0,0,0,0,1761900448549579
n-body,c,O3,external,8,11862116807,148.42449951171875,17.14984130859375,,6.60211181640625,,0,0,0,0,0,1761900460415206
n-body,c,O3,external,9,11861218463,148.36553955078125,17.11273193359375,,6.60235595703125,,0,0,0,0,0,1761900472279837
n-body,c,O3,external,10,11528032870,144.1676025390625,16.6197509765625,,6.41595458984375,,0,0,0,0,0,1761900483811275
n-body,c,O3,external,11,11860738018,148.3243408203125,17.07501220703125,,6.60015869140625,,0,0,0,0,0,1761900495675494
n-body,c,O3,external,12,11527696060,144.15899658203125,16.61004638671875,,6.416259765625,,0,0,0,0,0,1761900507206539
n-body,c,O3,external,13,11861760115,148.3951416015625,17.15087890625,,6.6014404296875,,0,0,0,0,0,1761900519071775
n-body,c,O3,external,14,11862435579,148.59698486328125,17.315673828125,,6.6016845703125,,0,0,0,0,0,1761900530937694
n-body,c,O3,external,15,11527111795,144.2596435546875,16.71533203125,,6.4146728515625,,0,0,0,0,0,1761900542468274
