scenario,language,test,mode,iteration,time,pkg,cores,gpu,dram,psys,cycles,l1d_misses,l1i_misses,llc_misses,branch_misses,ended
n-body,c,O3,internal,1,2135907161,94.93438720703125,71.30267333984375,,1.19293212890625,,0,0,0,0,0,1761898140963058
n-body,c,O3,internal,2,2135316387,94.8162841796875,71.201904296875,,1.1895751953125,,0,0,0,0,0,1761898143098379
n-body,c,O3,internal,3,2133071589,94.94195556640625,71.335205078125,,1.18914794921875,,0,0,0,0,0,1761898145231447
n-body,c,O3,internal,4,2131863731,94.78271484375,71.17950439453125,,1.1878662109375,,0,0,0,0,0,1761898147363316
n-body,c,O3,internal,5,2125793516,94.33837890625,70.84552001953125,,1.18231201171875,,0,0,0,0,0,1761898149489123
n-body,c,O3,internal,6,2145323134,97.37091064453125,73.6361083984375,,1.2144775390625,,0,0,0,0,0,1761898151634446
n-body,c,O3,internal,7,2124526319,94.748779296875,71.2098388671875,,1.18243408203125,,0,0,0,0,0,1761898153758993
n-body,c,O3,internal,8,2134831340,94.44769287109375,70.813720703125,,1.19036865234375,,0,0,0,0,0,1761898155893804
n-body,c,O3,internal,9,2126506041,94.42132568359375,70.90399169921875,,1.18310546875,,0,0,0,0,0,1761898158020317
n-body,c,O3,internal,10,2130798688,94.2093505859375,70.66168212890625,,1.186767578125,,0,0,0,0,0,1761898160151131
n-body,c,O3,internal,11,2125626133,96.406494140625,72.85870361328125,,1.19879150390625,,0,0,0,0,0,1761898162276744
n-body,c,O3,internal,12,2103494792,92.47064208984375,69.16046142578125,,1.170654296875,,0,0,0,0,0,1761898164380252
n-body,c,O3,internal,13,2139198298,96.0245361328125,72.3555908203125,,1.1927490234375,,0,0,0,0,0,1761898166519448
n-body,c,O3,internal,14,2097258494,92.06158447265625,68.81085205078125,,1.1680908203125,,0,0,0,0,0,1761898168616713
n-body,c,O3,internal,15,2106456219,94.0736083984375,70.779541015625,,1.17327880859375,,0,0,0,0,0,1761898170723185
