scenario,language,test,nice,affinity,mode,iteration,time,pkg,cores,gpu,ram,psys,cycles,l1d_misses,l1i_misses,llc_misses,branch_misses,c1_core_residency,c3_core_residency,c6_core_residency,c7_core_residency,c2_pkg_residency,c3_pkg_residency,c6_pkg_residency,c8_pkg_residency,c10_pkg_residency,ended
n-body,cpp,optimized,-20,5,process,1,10332586,143.757,29.414,,5.766,,8247151957,19786,34714,2199,8186,,0,0,0,0,0,0,0,0,1764334212135465
n-body,cpp,optimized,-20,5,process,2,10330966,143.687,29.353,,5.755,,8245865689,20886,35593,2177,7698,,0,0,0,0,0,0,0,0,1764334222472616
n-body,cpp,optimized,-20,5,process,3,10342160,143.785,29.329,,5.758,,8254798141,20641,34152,1890,7020,,0,0,0,0,0,0,0,0,1764334232820953
n-body,cpp,optimized,-20,5,process,4,10329922,143.657,29.338,,5.751,,8245025749,20432,33780,1853,6761,,0,0,0,0,0,0,0,0,1764334243157055
n-body,cpp,optimized,-20,5,process,5,10336014,143.78,29.391,,5.754,,8249884663,20751,34409,1836,6621,,0,0,0,0,0,0,0,0,1764334253499230
n-body,cpp,optimized,-20,5,process,6,10337029,143.749,29.35,,5.756,,8250675141,20940,33772,1913,6780,,0,0,0,0,0,0,0,0,1764334263842385
n-body,cpp,optimized,-20,5,process,7,10336785,143.727,29.339,,5.755,,8250484292,20567,33943,1964,6679,,0,0,0,0,0,0,0,0,1764334274185289
n-body,cpp,optimized,-20,5,process,8,10347941,143.848,29.339,,5.76,,8259390583,21399,34780,2020,6964,,0,0,0,0,0,0,0,0,1764334284539334
n-body,cpp,optimized,-20,5,process,9,10338967,143.72,29.312,,5.755,,8252212805,20668,33632,1836,6691,,0,0,0,0,0,0,0,0,1764334294884407
n-body,cpp,optimized,-20,5,process,10,10344152,143.782,29.309,,5.759,,8256359532,20657,34640,1853,6696,,0,0,0,0,0,0,0,0,1764334305234677
n-body,cpp,optimized,-20,5,process,11,10343089,143.756,29.295,,5.758,,8255510227,21099,34045,1852,6745,,0,0,0,0,0,0,0,0,1764334315583849
n-body,cpp,optimized,-20,5,process,12,10329369,143.565,29.27,,5.751,,8244554036,21072,34398,1930,6799,,0,0,0,0,0,0,0,0,1764334325919294
n-body,cpp,optimized,-20,5,process,13,10349283,143.862,29.345,,5.761,,8260433314,21177,35087,1965,6797,,0,0,0,0,0,0,0,0,1764334336274664
n-body,cpp,optimized,-20,5,process,14,10329374,143.598,29.288,,5.75,,8244549124,20833,33610,1895,6571,,0,0,0,0,0,0,0,0,1764334346610151
n-body,cpp,optimized,-20,5,process,15,10345474,143.839,29.352,,5.759,,8257387962,21056,33613,1897,6676,,0,0,0,0,0,0,0,0,1764334356961725
n-body,cpp,optimized,-20,5,process,16,10341073,143.77,29.324,,5.757,,8253878409,21035,34434,1930,6712,,0,0,0,0,0,0,0,0,1764334367308882
n-body,cpp,optimized,-20,5,process,17,10330034,143.615,29.292,,5.752,,8245066305,21091,33724,2048,6551,,0,0,0,0,0,0,0,0,1764334377645042
n-body,cpp,optimized,-20,5,process,18,10353539,143.93,29.355,,5.764,,8263820532,21709,34736,2004,7089,,0,0,0,0,0,0,0,0,1764334388004721
n-body,cpp,optimized,-20,5,process,19,10332782,143.636,29.293,,5.752,,8247252640,20593,33579,1932,6751,,0,0,0,0,0,0,0,0,1764334398343619
n-body,cpp,optimized,-20,5,process,20,10338032,143.729,29.318,,5.755,,8251437245,21219,34892,1889,6865,,0,0,0,0,0,0,0,0,1764334408687748
n-body,cpp,optimized,-20,5,process,21,10331502,143.624,29.291,,5.751,,8246218731,20775,33831,1826,6582,,0,0,0,0,0,0,0,0,1764334419025348
n-body,cpp,optimized,-20,5,process,22,10348522,143.882,29.357,,5.762,,8259796521,20768,34100,2100,6758,,0,0,0,0,0,0,0,0,1764334429379950
n-body,cpp,optimized,-20,5,process,23,10329372,143.595,29.296,,5.75,,8244514780,20999,33281,1937,6673,,0,0,0,0,0,0,0,0,1764334439715430
n-body,cpp,optimized,-20,5,process,24,10331450,143.665,29.332,,5.752,,8246170904,21192,33874,1963,6707,,0,0,0,0,0,0,0,0,1764334450052970
n-body,cpp,optimized,-20,5,process,25,10330778,143.606,29.287,,5.751,,8245635318,20865,33593,1909,6666,,0,0,0,0,0,0,0,0,1764334460389833
n-body,cpp,optimized,-20,5,process,26,10333394,143.676,29.322,,5.753,,8247722064,20940,33624,1904,6671,,0,0,0,0,0,0,0,0,1764334470729320
n-body,cpp,optimized,-20,5,process,27,10342795,143.795,29.341,,5.758,,8255219853,21039,33886,1926,6764,,0,0,0,0,0,0,0,0,1764334481078211
n-body,cpp,optimized,-20,5,process,28,10335916,143.691,29.302,,5.754,,8249726083,21097,33872,1877,6710,,0,0,0,0,0,0,0,0,1764334491420227
n-body,cpp,optimized,-20,5,process,29,10333746,143.678,29.326,,5.754,,8247977276,21050,33335,2082,6673,,0,0,0,0,0,0,0,0,1764334501760091
n-body,cpp,optimized,-20,5,process,30,10329814,143.648,29.342,,5.754,,8244837539,21597,34480,2330,6931,,0,0,0,0,0,0,0,0,1764334512096012
n-body,cpp,optimized,-20,5,process,31,10345034,143.842,29.355,,5.76,,8256984554,21442,34219,2120,6858,,0,0,0,0,0,0,0,0,1764334522447172
n-body,cpp,optimized,-20,5,process,32,10328456,143.575,29.277,,5.75,,8243757782,21208,35231,1968,6773,,0,0,0,0,0,0,0,0,1764334532781718
n-body,cpp,optimized,-20,5,process,33,10345614,143.868,29.379,,5.759,,8257451746,20596,33469,1829,6580,,0,0,0,0,0,0,0,0,1764334543133434
n-body,cpp,optimized,-20,5,process,34,10350202,143.94,29.4,,5.762,,8261115021,20365,33684,1813,6510,,0,0,0,0,0,0,0,0,1764334553489786
n-body,cpp,optimized,-20,5,process,35,10348914,143.897,29.373,,5.762,,8260084444,20721,33827,1854,6435,,0,0,0,0,0,0,0,0,1764334563844823
n-body,cpp,optimized,-20,5,process,36,10348241,143.867,29.361,,5.762,,8259544919,20591,34056,1883,6529,,0,0,0,0,0,0,0,0,1764334574199181
n-body,cpp,optimized,-20,5,process,37,10329381,143.611,29.314,,5.75,,8244476338,21398,35503,2108,6812,,0,0,0,0,0,0,0,0,1764334584534655
n-body,cpp,optimized,-20,5,process,38,10329318,143.656,29.346,,5.75,,8244435017,20949,33718,1858,6604,,0,0,0,0,0,0,0,0,1764334594870082
n-body,cpp,optimized,-20,5,process,39,10329823,143.649,29.341,,5.75,,8244826863,20799,33361,1690,6562,,0,0,0,0,0,0,0,0,1764334605206020
n-body,cpp,optimized,-20,5,process,40,10347939,143.882,29.359,,5.761,,8259293735,20939,33987,1807,6752,,0,0,0,0,0,0,0,0,1764334615560071
n-body,cpp,optimized,-20,5,process,41,10344903,143.85,29.359,,5.759,,8256862065,20911,33666,1968,6641,,0,0,0,0,0,0,0,0,1764334625911075
n-body,cpp,optimized,-20,5,process,42,10337993,143.743,29.344,,5.756,,8251349633,20831,33592,1918,6541,,0,0,0,0,0,0,0,0,1764334636255179
n-body,cpp,optimized,-20,5,process,43,10341766,143.81,29.368,,5.757,,8254354459,20721,33222,1898,6625,,0,0,0,0,0,0,0,0,1764334646603049
n-body,cpp,optimized,-20,5,process,44,10328795,143.612,29.317,,5.75,,8244003144,20888,33437,2001,6589,,0,0,0,0,0,0,0,0,1764334656937959
n-body,cpp,optimized,-20,5,process,45,10340517,143.777,29.347,,5.757,,8253360813,20973,33463,1860,6723,,0,0,0,0,0,0,0,0,1764334667284589
n-body,cpp,optimized,-20,5,process,46,10332064,143.634,29.304,,5.752,,8246608518,20918,33569,1899,6627,,0,0,0,0,0,0,0,0,1764334677622757
n-body,cpp,optimized,-20,5,process,47,10331018,143.646,29.327,,5.751,,8245772616,20870,33356,1892,6524,,0,0,0,0,0,0,0,0,1764334687959886
n-body,cpp,optimized,-20,5,process,48,10334865,143.735,29.357,,5.755,,8248843475,20838,33581,2004,6644,,0,0,0,0,0,0,0,0,1764334698300873
n-body,cpp,optimized,-20,5,process,49,10345710,143.842,29.353,,5.76,,8257498040,20940,34933,2006,6734,,0,0,0,0,0,0,0,0,1764334708652686
n-body,cpp,optimized,-20,5,process,50,10344836,143.811,29.336,,5.759,,8256795278,20764,33835,2055,6641,,0,0,0,0,0,0,0,0,1764334719003634
n-body,cpp,optimized,-20,5,process,51,10330484,143.621,29.3,,5.752,,8245335074,21075,33910,2121,6743,,0,0,0,0,0,0,0,0,1764334729340226
n-body,cpp,optimized,-20,5,process,52,10344208,143.784,29.309,,5.759,,8256276721,21392,35689,2026,6830,,0,0,0,0,0,0,0,0,1764334739690546
n-body,cpp,optimized,-20,5,process,53,10331603,143.609,29.28,,5.752,,8246218736,20010,33896,1834,6256,,0,0,0,0,0,0,0,0,1764334750028327
n-body,cpp,optimized,-20,5,process,54,10347938,143.891,29.38,,5.762,,8259251781,20478,33585,2032,6587,,0,0,0,0,0,0,0,0,1764334760382388
n-body,cpp,optimized,-20,5,process,55,10343506,143.802,29.342,,5.758,,8255724299,21660,33574,2081,6876,,0,0,0,0,0,0,0,0,1764334770732029
n-body,cpp,optimized,-20,5,process,56,10330599,143.66,29.342,,5.751,,8245410771,21841,34619,2122,6840,,0,0,0,0,0,0,0,0,1764334781068765
n-body,cpp,optimized,-20,5,process,57,10328701,143.632,29.333,,5.75,,8243910893,20591,33343,1962,6423,,0,0,0,0,0,0,0,0,1764334791403585
n-body,cpp,optimized,-20,5,process,58,10340819,143.822,29.375,,5.757,,8253563045,20598,34088,1945,6436,,0,0,0,0,0,0,0,0,1764334801750505
n-body,cpp,optimized,-20,5,process,59,10331243,143.718,29.385,,5.754,,8245932658,21980,34355,2400,6869,,0,0,0,0,0,0,0,0,1764334812087876
n-body,cpp,optimized,-20,5,process,60,10345089,143.895,29.406,,5.761,,8256982527,20933,33672,2017,6433,,0,0,0,0,0,0,0,0,1764334822439123
pidigits,c,optimized,-20,5,process,1,3180160,44.221,9.032,,1.773,,2538022559,252084053,123714,1612,795966,,0,0,0,0,0,0,0,0,1764334886248804
pidigits,c,optimized,-20,5,process,2,3187033,44.301,9.033,,1.773,,2543511810,252088153,124222,236,793825,,0,0,0,0,0,0,0,0,1764334889441973
pidigits,c,optimized,-20,5,process,3,3180025,44.229,9.039,,1.772,,2537918673,252093757,130813,1097,794482,,0,0,0,0,0,0,0,0,1764334892628019
pidigits,c,optimized,-20,5,process,4,3171987,44.102,9.0,,1.767,,2531502866,252076071,126957,567,794608,,0,0,0,0,0,0,0,0,1764334895806110
pidigits,c,optimized,-20,5,process,5,3181147,44.21,9.023,,1.771,,2538803188,252090013,126753,519,794541,,0,0,0,0,0,0,0,0,1764334898993368
pidigits,c,optimized,-20,5,process,6,3173858,44.131,9.018,,1.768,,2532990070,252061792,126667,922,790797,,0,0,0,0,0,0,0,0,1764334902173332
pidigits,c,optimized,-20,5,process,7,3180269,44.212,9.023,,1.769,,2538101742,252079420,126852,259,783291,,0,0,0,0,0,0,0,0,1764334905359710
pidigits,c,optimized,-20,5,process,8,3180084,44.229,9.038,,1.771,,2537967963,252120137,123494,982,804430,,0,0,0,0,0,0,0,0,1764334908545796
pidigits,c,optimized,-20,5,process,9,3179189,44.223,9.044,,1.771,,2537248780,252116020,126080,1009,807903,,0,0,0,0,0,0,0,0,1764334911731089
pidigits,c,optimized,-20,5,process,10,3180962,44.237,9.036,,1.77,,2538666130,252073176,127513,274,789340,,0,0,0,0,0,0,0,0,1764334914918177
pidigits,c,optimized,-20,5,process,11,3180606,44.25,9.048,,1.773,,2538382867,252093164,128569,961,799454,,0,0,0,0,0,0,0,0,1764334918104793
pidigits,c,optimized,-20,5,process,12,3184590,44.291,9.045,,1.774,,2541559560,252088664,121247,1249,796679,,0,0,0,0,0,0,0,0,1764334921295503
pidigits,c,optimized,-20,5,process,13,3191671,44.382,9.061,,1.777,,2547213700,252095416,126730,584,788181,,0,0,0,0,0,0,0,0,1764334924493283
pidigits,c,optimized,-20,5,process,14,3182522,44.269,9.045,,1.773,,2539898611,252076201,123561,961,789683,,0,0,0,0,0,0,0,0,1764334927681868
pidigits,c,optimized,-20,5,process,15,3170929,44.081,8.993,,1.764,,2530658781,252064788,118240,184,787950,,0,0,0,0,0,0,0,0,1764334930858918
pidigits,c,optimized,-20,5,process,16,3177373,44.194,9.037,,1.771,,2535797965,252076143,123256,952,787812,,0,0,0,0,0,0,0,0,1764334934042303
pidigits,c,optimized,-20,5,process,17,3178748,44.218,9.055,,1.771,,2536887561,252092099,120201,1364,788772,,0,0,0,0,0,0,0,0,1764334937227169
pidigits,c,optimized,-20,5,process,18,3170648,44.083,9.005,,1.765,,2530427545,252069335,124445,298,796254,,0,0,0,0,0,0,0,0,1764334940403950
pidigits,c,optimized,-20,5,process,19,3178504,44.223,9.042,,1.771,,2536703177,252088591,127098,900,798241,,0,0,0,0,0,0,0,0,1764334943588482
pidigits,c,optimized,-20,5,process,20,3174712,44.144,9.021,,1.768,,2533676301,252071994,121128,893,791112,,0,0,0,0,0,0,0,0,1764334946769311
pidigits,c,optimized,-20,5,process,21,3177684,44.183,9.013,,1.768,,2536045803,252168299,125422,230,824648,,0,0,0,0,0,0,0,0,1764334949953112
pidigits,c,optimized,-20,5,process,22,3182915,44.269,9.058,,1.773,,2540223320,252096814,127192,1528,791728,,0,0,0,0,0,0,0,0,1764334953142035
pidigits,c,optimized,-20,5,process,23,3176473,44.183,9.021,,1.769,,2535069094,252077198,121830,636,792721,,0,0,0,0,0,0,0,0,1764334956324643
pidigits,c,optimized,-20,5,process,24,3181064,44.241,9.039,,1.771,,2538740954,252073927,126942,502,786770,,0,0,0,0,0,0,0,0,1764334959511805
pidigits,c,optimized,-20,5,process,25,3178989,44.226,9.048,,1.771,,2537087263,252052178,125236,997,784171,,0,0,0,0,0,0,0,0,1764334962696882
pidigits,c,optimized,-20,5,process,26,3177871,44.19,9.021,,1.768,,2536198274,252072985,123912,180,786714,,0,0,0,0,0,0,0,0,1764334965880873
pidigits,c,optimized,-20,5,process,27,3179734,44.233,9.043,,1.772,,2537684271,252082380,124606,1210,790250,,0,0,0,0,0,0,0,0,1764334969066596
pidigits,c,optimized,-20,5,process,28,3176337,44.18,9.037,,1.769,,2534966728,252077612,125795,851,793911,,0,0,0,0,0,0,0,0,1764334972249029
pidigits,c,optimized,-20,5,process,29,3184986,44.283,9.038,,1.772,,2541879579,252083212,116817,268,797927,,0,0,0,0,0,0,0,0,1764334975440113
pidigits,c,optimized,-20,5,process,30,3188246,44.337,9.06,,1.776,,2544469507,252094219,122122,1029,794544,,0,0,0,0,0,0,0,0,1764334978634392
pidigits,c,optimized,-20,5,process,31,3178126,44.209,9.041,,1.77,,2536398757,252094875,127064,1454,792090,,0,0,0,0,0,0,0,0,1764334981818727
pidigits,c,optimized,-20,5,process,32,3188430,44.332,9.053,,1.775,,2544621937,252081662,117452,498,788812,,0,0,0,0,0,0,0,0,1764334985013378
pidigits,c,optimized,-20,5,process,33,3184415,44.278,9.045,,1.774,,2541407274,252136053,119274,971,818256,,0,0,0,0,0,0,0,0,1764334988203871
pidigits,c,optimized,-20,5,process,34,3171058,44.095,9.006,,1.766,,2530753815,252090753,125114,688,782979,,0,0,0,0,0,0,0,0,1764334991381096
pidigits,c,optimized,-20,5,process,35,3185635,44.278,9.035,,1.774,,2542385085,252085998,118811,620,793020,,0,0,0,0,0,0,0,0,1764334994572870
pidigits,c,optimized,-20,5,process,36,3183333,44.267,9.046,,1.773,,2540551368,252087405,130670,1574,794292,,0,0,0,0,0,0,0,0,1764334997762339
pidigits,c,optimized,-20,5,process,37,3176245,44.171,9.014,,1.769,,2534886781,252090921,125843,245,802442,,0,0,0,0,0,0,0,0,1764335000944697
pidigits,c,optimized,-20,5,process,38,3185316,44.29,9.047,,1.775,,2542135650,252082964,125157,958,797996,,0,0,0,0,0,0,0,0,1764335004136068
pidigits,c,optimized,-20,5,process,39,3174070,44.155,9.031,,1.768,,2533155853,252098281,128792,953,792728,,0,0,0,0,0,0,0,0,1764335007316273
pidigits,c,optimized,-20,5,process,40,3171577,44.09,9.001,,1.764,,2531167270,252063598,126320,238,792324,,0,0,0,0,0,0,0,0,1764335010493988
pidigits,c,optimized,-20,5,process,41,3185674,44.296,9.054,,1.775,,2542417777,252087901,122753,998,800565,,0,0,0,0,0,0,0,0,1764335013685697
pidigits,c,optimized,-20,5,process,42,3178313,44.187,9.021,,1.77,,2536543821,252090527,129282,1251,783394,,0,0,0,0,0,0,0,0,1764335016870146
pidigits,c,optimized,-20,5,process,43,3177713,44.174,9.019,,1.769,,2536056921,252072190,126509,582,786346,,0,0,0,0,0,0,0,0,1764335020053959
pidigits,c,optimized,-20,5,process,44,3183744,44.29,9.054,,1.775,,2540878127,252072658,123588,1641,783284,,0,0,0,0,0,0,0,0,1764335023243833
pidigits,c,optimized,-20,5,process,45,3188150,44.332,9.054,,1.774,,2544396259,252098957,120976,204,785109,,0,0,0,0,0,0,0,0,1764335026438105
pidigits,c,optimized,-20,5,process,46,3183883,44.283,9.061,,1.773,,2540987911,252063965,126961,911,782822,,0,0,0,0,0,0,0,0,1764335029628004
pidigits,c,optimized,-20,5,process,47,3176066,44.182,9.038,,1.769,,2534743800,252063462,120487,1591,783419,,0,0,0,0,0,0,0,0,1764335032810211
pidigits,c,optimized,-20,5,process,48,3185086,44.283,9.035,,1.772,,2541949940,252082130,125939,222,790470,,0,0,0,0,0,0,0,0,1764335036001408
pidigits,c,optimized,-20,5,process,49,3175946,44.177,9.029,,1.769,,2534648017,252042640,125603,873,782470,,0,0,0,0,0,0,0,0,1764335039183332
pidigits,c,optimized,-20,5,process,50,3178264,44.201,9.033,,1.77,,2536490129,252088562,129677,828,787997,,0,0,0,0,0,0,0,0,1764335042367707
pidigits,c,optimized,-20,5,process,51,3168889,44.065,8.995,,1.763,,2529023846,252065153,119846,213,785233,,0,0,0,0,0,0,0,0,1764335045542739
pidigits,c,optimized,-20,5,process,52,3171126,44.105,9.014,,1.767,,2530806049,252078870,124445,785,795717,,0,0,0,0,0,0,0,0,1764335048719915
pidigits,c,optimized,-20,5,process,53,3172217,44.114,9.013,,1.766,,2531675198,252071513,121882,1160,792240,,0,0,0,0,0,0,0,0,1764335051898257
pidigits,c,optimized,-20,5,process,54,3182334,44.27,9.045,,1.773,,2539741343,252097583,131440,597,791909,,0,0,0,0,0,0,0,0,1764335055086692
pidigits,c,optimized,-20,5,process,55,3183194,44.293,9.071,,1.773,,2540438009,252086879,127103,898,792087,,0,0,0,0,0,0,0,0,1764335058275970
pidigits,c,optimized,-20,5,process,56,3193578,44.433,9.085,,1.778,,2548731331,252080133,123877,286,789592,,0,0,0,0,0,0,0,0,1764335061475688
pidigits,c,optimized,-20,5,process,57,3187680,44.358,9.079,,1.776,,2544017661,252072763,128844,896,789288,,0,0,0,0,0,0,0,0,1764335064669418
pidigits,c,optimized,-20,5,process,58,3193730,44.432,9.087,,1.779,,2548845663,252082534,120719,1262,797196,,0,0,0,0,0,0,0,0,1764335067869276
pidigits,c,optimized,-20,5,process,59,3174673,44.147,9.012,,1.767,,2533624079,252098059,128760,320,796094,,0,0,0,0,0,0,0,0,1764335071050085
pidigits,c,optimized,-20,5,process,60,3179941,44.228,9.038,,1.772,,2537842149,252078518,127556,948,782214,,0,0,0,0,0,0,0,0,1764335074236025
n-body,c,optimized,-20,5,process,1,11696249,162.696,33.257,,6.513,,9335411658,5201,11541,893,1504,,0,0,0,0,0,0,0,0,1764335146615703
n-body,c,optimized,-20,5,process,2,11696308,162.711,33.276,,6.512,,9335466647,5890,14253,1040,1592,,0,0,0,0,0,0,0,0,1764335158318164
n-body,c,optimized,-20,5,process,3,11696220,162.738,33.317,,6.51,,9335383263,6176,16135,1111,1328,,0,0,0,0,0,0,0,0,1764335170020505
n-body,c,optimized,-20,5,process,4,11697124,162.73,33.286,,6.511,,9336118736,6228,15999,1161,1275,,0,0,0,0,0,0,0,0,1764335181723774
n-body,c,optimized,-20,5,process,5,11697325,162.76,33.313,,6.514,,9336278375,6329,15226,1235,1192,,0,0,0,0,0,0,0,0,1764335193427235
n-body,c,optimized,-20,5,process,6,11695629,162.709,33.284,,6.51,,9334916517,5951,15331,1002,1100,,0,0,0,0,0,0,0,0,1764335205129015
n-body,c,optimized,-20,5,process,7,11695822,162.668,33.248,,6.51,,9335078215,6137,15521,1105,1110,,0,0,0,0,0,0,0,0,1764335216830980
n-body,c,optimized,-20,5,process,8,11697091,162.739,33.293,,6.512,,9336090513,6162,15547,1173,1010,,0,0,0,0,0,0,0,0,1764335228534211
n-body,c,optimized,-20,5,process,9,11695763,162.734,33.308,,6.511,,9335019978,5974,15199,1048,993,,0,0,0,0,0,0,0,0,1764335240236120
n-body,c,optimized,-20,5,process,10,11696725,162.744,33.308,,6.512,,9335800717,6156,15701,1171,1041,,0,0,0,0,0,0,0,0,1764335251939015
n-body,c,optimized,-20,5,process,11,11696632,162.762,33.332,,6.511,,9335716098,6383,15589,1143,989,,0,0,0,0,0,0,0,0,1764335263641809
n-body,c,optimized,-20,5,process,12,11696854,162.774,33.346,,6.512,,9335899093,6257,15306,1192,999,,0,0,0,0,0,0,0,0,1764335275344811
n-body,c,optimized,-20,5,process,13,11697311,162.727,33.303,,6.51,,9336266104,5923,15208,953,1022,,0,0,0,0,0,0,0,0,1764335287048260
n-body,c,optimized,-20,5,process,14,11696774,162.797,33.353,,6.513,,9335820668,6186,15565,1153,1024,,0,0,0,0,0,0,0,0,1764335298751221
n-body,c,optimized,-20,5,process,15,11698748,162.783,33.33,,6.514,,9337405808,6230,15518,1113,1105,,0,0,0,0,0,0,0,0,1764335310456117
n-body,c,optimized,-20,5,process,16,11696944,162.752,33.303,,6.511,,9335971389,6164,15366,1309,1053,,0,0,0,0,0,0,0,0,1764335322159211
n-body,c,optimized,-20,5,process,17,11696964,162.735,33.286,,6.513,,9335975746,6143,15533,1067,1010,,0,0,0,0,0,0,0,0,1764335333862308
n-body,c,optimized,-20,5,process,18,11696508,162.734,33.3,,6.514,,9335597846,6092,14390,1289,1044,,0,0,0,0,0,0,0,0,1764335345564964
n-body,c,optimized,-20,5,process,19,11697478,162.714,33.274,,6.511,,9336393027,6113,16449,1093,1043,,0,0,0,0,0,0,0,0,1764335357268634
n-body,c,optimized,-20,5,process,20,11697003,162.77,33.323,,6.513,,9336015365,5967,15659,1083,1011,,0,0,0,0,0,0,0,0,1764335368971758
n-body,c,optimized,-20,5,process,21,11696820,162.815,33.372,,6.512,,9335868455,6073,16281,1041,1072,,0,0,0,0,0,0,0,0,1764335380674737
n-body,c,optimized,-20,5,process,22,11696287,162.74,33.309,,6.511,,9335444404,6481,16739,1142,1185,,0,0,0,0,0,0,0,0,1764335392377164
n-body,c,optimized,-20,5,process,23,11696708,162.75,33.324,,6.511,,9335774755,6335,15396,1210,1038,,0,0,0,0,0,0,0,0,1764335404080008
n-body,c,optimized,-20,5,process,24,11697686,162.791,33.338,,6.514,,9336553847,5854,14465,1133,1058,,0,0,0,0,0,0,0,0,1764335415783846
n-body,c,optimized,-20,5,process,25,11696824,162.761,33.331,,6.511,,9335871257,6207,15299,1090,1103,,0,0,0,0,0,0,0,0,1764335427486780
n-body,c,optimized,-20,5,process,26,11696709,162.896,33.449,,6.523,,9335775035,6167,16334,1385,1115,,0,0,0,0,0,0,0,0,1764335439189652
n-body,c,optimized,-20,5,process,27,11697691,162.78,33.337,,6.513,,9336562070,6078,15412,1248,1093,,0,0,0,0,0,0,0,0,1764335450893500
n-body,c,optimized,-20,5,process,28,11696601,162.73,33.302,,6.511,,9335687872,5987,15565,955,1077,,0,0,0,0,0,0,0,0,1764335462596262
n-body,c,optimized,-20,5,process,29,11697368,162.75,33.31,,6.512,,9336287425,6469,15327,1165,1058,,0,0,0,0,0,0,0,0,1764335474299771
n-body,c,optimized,-20,5,process,30,11696431,162.758,33.329,,6.513,,9335553931,6153,15340,1194,1047,,0,0,0,0,0,0,0,0,1764335486002365
