scenario,language,test,mode,iteration,time,pkg,cores,gpu,dram,psys,cycles,cache_misses,branch_misses,ended
fasta,c,O3,internal,42,277893469,10.828125,7.77978515625,,0.1666259765625,,739637,366,60,1761750943527224
fasta,c,O3,internal,43,277845304,10.92413330078125,7.834228515625,,0.16778564453125,,737676,362,25,1761750943805093
fasta,c,O3,internal,44,279760756,11.16461181640625,8.0489501953125,,0.17041015625,,757626,576,56,1761750944084849
fasta,c,O3,internal,45,277718272,10.71319580078125,7.6170654296875,,0.1673583984375,,731532,268,17,1761750944362582
fasta,c,O3,internal,46,273389164,10.6142578125,7.5946044921875,,0.16424560546875,,722958,251,9,1761750944635975
fasta,c,O3,internal,47,273120074,10.59808349609375,7.57525634765625,,0.16455078125,,723109,283,8,1761750944909094
fasta,c,O3,internal,48,272613854,10.57452392578125,7.5311279296875,,0.16412353515625,,721463,260,5,1761750945181714
fasta,c,O3,internal,49,282566894,12.01409912109375,8.90386962890625,,0.2005615234375,,750370,301,7,1761750945464284
fasta,c,O3,internal,50,293550473,12.425048828125,9.18804931640625,,0.2158203125,,780484,299,4,1761750945757835
fasta,c,O3,external,1,277255003,10.8023681640625,7.698486328125,,0.1685791015625,,734503,307,29,1761751007325710
fasta,c,O3,external,2,279700061,11.0216064453125,7.91046142578125,,0.1702880859375,,753422,544,72,1761751007725806
fasta,c,O3,external,3,276254412,10.689697265625,7.6346435546875,,0.1661376953125,,737900,353,56,1761751008120904
fasta,c,O3,external,4,278060294,10.769775390625,7.68572998046875,,0.1669921875,,735980,335,46,1761751008519318
fasta,c,O3,external,5,278311887,10.791259765625,7.7196044921875,,0.16754150390625,,736591,374,72,1761751008912838
fasta,c,O3,external,6,279755513,11.0120849609375,7.9010009765625,,0.16998291015625,,747466,508,49,1761751009311742
fasta,c,O3,external,7,277326036,10.7781982421875,7.71368408203125,,0.16680908203125,,729152,292,28,1761751009711125
fasta,c,O3,external,8,279651268,10.8934326171875,7.77294921875,,0.1689453125,,746931,372,72,1761751010105484
fasta,c,O3,external,9,273025159,10.5299072265625,7.54150390625,,0.1636962890625,,732840,547,260,1761751010494383
fasta,c,O3,external,10,275467790,10.7440185546875,7.70916748046875,,0.16650390625,,726640,364,34,1761751010883252
fasta,c,O3,external,11,274018217,10.56610107421875,7.526611328125,,0.164794921875,,737428,531,53,1761751011271614
fasta,c,O3,external,12,275134695,10.651123046875,7.6033935546875,,0.1661376953125,,732855,364,95,1761751011662844
fasta,c,O3,external,13,276303580,10.69647216796875,7.63812255859375,,0.16619873046875,,730860,408,64,1761751012055225
fasta,c,O3,external,14,277577576,10.73565673828125,7.6759033203125,,0.166259765625,,731353,367,40,1761751012449287
fasta,c,O3,external,15,278617791,10.88604736328125,7.78009033203125,,0.1697998046875,,752458,582,103,1761751012846717
fasta,c,O3,external,16,279021929,10.88397216796875,7.78704833984375,,0.16827392578125,,738546,324,34,1761751013243291
fasta,c,O3,external,17,273001477,10.53912353515625,7.5072021484375,,0.1649169921875,,746360,706,52,1761751013633033
fasta,c,O3,external,18,273378727,10.59429931640625,7.57623291015625,,0.164794921875,,756498,428,278,1761751014025032
fasta,c,O3,external,19,276508525,10.809326171875,7.72454833984375,,0.16729736328125,,752044,603,33,1761751014419169
fasta,c,O3,external,20,276573320,10.730224609375,7.681640625,,0.166259765625,,732964,288,29,1761751014815102
fasta,c,O3,external,21,276580056,10.718017578125,7.6751708984375,,0.1658935546875,,730667,304,39,1761751015208715
fasta,c,O3,external,22,277043694,10.82818603515625,7.752197265625,,0.16717529296875,,733057,336,31,1761751015608482
fasta,c,O3,external,23,272690182,10.4896240234375,7.44500732421875,,0.1649169921875,,759770,721,675,1761751016000422
fasta,c,O3,external,24,274409406,10.4150390625,7.3795166015625,,0.16485595703125,,773243,479,40,1761751016391782
fasta,c,O3,external,25,273552777,10.25701904296875,7.24383544921875,,0.1640625,,752979,508,40,1761751016781533
fasta,c,O3,external,26,276085063,10.592041015625,7.5296630859375,,0.16680908203125,,755868,636,44,1761751017177160
fasta,c,O3,external,27,272872237,10.4801025390625,7.4476318359375,,0.16485595703125,,761012,590,37,1761751017567592
fasta,c,O3,external,28,278355566,10.822265625,7.745361328125,,0.16741943359375,,744861,503,39,1761751017966650
fasta,c,O3,external,29,274446036,10.53057861328125,7.4940185546875,,0.1654052734375,,749635,507,47,1761751018356973
fasta,c,O3,external,30,277420600,10.793212890625,7.7320556640625,,0.1668701171875,,757400,318,29,1761751018751283
