scenario,language,test,mode,iteration,time,pkg,cores,gpu,dram,psys,cycles,cache_misses,branch_misses,ended
fasta,c,O3,internal,1,1535508657,19.1009521484375,2.1092529296875,,0.8734130859375,,2966059,817,66,1761752996165419
fasta,c,O3,internal,2,1534366109,19.10150146484375,2.121337890625,,0.87042236328125,,3038205,936,48,1761752997699840
fasta,c,O3,internal,3,1535498094,19.1690673828125,2.17919921875,,0.87640380859375,,3088033,865,118,1761752999235336
fasta,c,O3,internal,4,1535420965,19.1361083984375,2.144775390625,,0.8709716796875,,3084575,501,27,1761753000770829
fasta,c,O3,internal,5,1535549232,19.1478271484375,2.1553955078125,,0.874267578125,,3074107,1131,124,1761753002306331
fasta,c,O3,internal,6,1538469047,19.33172607421875,2.3046875,,0.9180908203125,,3131482,1118,169,1761753003844836
fasta,c,O3,internal,7,1548068717,19.5054931640625,2.37896728515625,,0.95538330078125,,3115646,1173,58,1761753005392924
fasta,c,O3,internal,8,1543995952,19.28515625,2.2060546875,,0.87750244140625,,3089868,795,90,1761753006936940
fasta,c,O3,internal,9,1537145320,19.16949462890625,2.15509033203125,,0.87469482421875,,3128901,707,62,1761753008474105
fasta,c,O3,internal,10,1537163096,19.09027099609375,2.07696533203125,,0.87225341796875,,3115547,961,62,1761753010011271
fasta,c,O3,internal,11,1537278729,19.18389892578125,2.16925048828125,,0.87432861328125,,3014374,872,88,1761753011548585
fasta,c,O3,internal,12,1537177107,19.173583984375,2.1595458984375,,0.87408447265625,,3058686,1027,86,1761753013085789
fasta,c,O3,internal,13,1536884917,19.2071533203125,2.1929931640625,,0.8724365234375,,3065095,881,90,1761753014622675
fasta,c,O3,internal,14,1536890310,19.133544921875,2.12017822265625,,0.87188720703125,,3108613,947,46,1761753016159586
fasta,c,O3,internal,15,1536991498,19.16265869140625,2.15020751953125,,0.87420654296875,,3005483,959,78,1761753017696590
fasta,c,O3,internal,16,1538480636,19.22076416015625,2.1944580078125,,0.87481689453125,,3051959,1212,113,1761753019235092
fasta,c,O3,internal,17,1538321000,19.16851806640625,2.1436767578125,,0.87298583984375,,3071764,699,38,1761753020773415
fasta,c,O3,internal,18,1538414552,19.20623779296875,2.18170166015625,,0.8746337890625,,3078073,935,108,1761753022311857
fasta,c,O3,internal,19,1539209069,19.1746826171875,2.14105224609375,,0.875,,3058634,868,85,1761753023851084
fasta,c,O3,internal,20,1543517016,19.39404296875,2.31256103515625,,0.9244384765625,,3076157,1041,66,1761753025394615
fasta,c,O3,internal,21,1601037538,20.53857421875,2.8211669921875,,1.09381103515625,,3287645,1421,174,1761753026995674
fasta,c,O3,internal,22,1545675349,19.2044677734375,2.10357666015625,,0.88336181640625,,3133541,883,75,1761753028541357
fasta,c,O3,internal,23,1541781546,19.1156005859375,2.059814453125,,0.87432861328125,,2989760,646,39,1761753030083169
fasta,c,O3,internal,24,1542113115,19.11273193359375,2.05804443359375,,0.8758544921875,,3070558,976,117,1761753031625276
fasta,c,O3,internal,25,1555706888,19.2276611328125,2.018798828125,,0.881591796875,,3076506,901,55,1761753033181025
fasta,c,O3,internal,26,1548887046,19.24224853515625,2.09881591796875,,0.8802490234375,,3057407,904,100,1761753034729919
fasta,c,O3,internal,27,1541823554,19.109375,2.05596923828125,,0.8743896484375,,3040459,683,34,1761753036271759
fasta,c,O3,internal,28,1544145352,19.12872314453125,2.04010009765625,,0.877685546875,,3001078,846,88,1761753037815923
fasta,c,O3,internal,29,1540577154,19.07373046875,2.03009033203125,,0.8756103515625,,3043899,1064,94,1761753039356526
fasta,c,O3,internal,30,1540544184,19.09466552734375,2.0379638671875,,0.87371826171875,,3023055,767,48,1761753040897089
fasta,c,O3,internal,31,1541164286,19.1409912109375,2.08551025390625,,0.87640380859375,,3070397,1083,179,1761753042438247
