language,scenario,time_mean,time_cv%,pkg_mean,pkg_cv%,cores_mean,cores_cv%,gpu_mean,gpu_cv%,ram_mean,ram_cv%,psys_mean,psys_cv%,cycles_mean,cycles_cv%,l1d_misses_mean,l1d_misses_cv%,l1i_misses_mean,l1i_misses_cv%,llc_misses_mean,llc_misses_cv%,branch_misses_mean,branch_misses_cv%,c1_core_residency_mean,c1_core_residency_cv%,c3_core_residency_mean,c3_core_residency_cv%,c6_core_residency_mean,c6_core_residency_cv%,c7_core_residency_mean,c7_core_residency_cv%,c2_pkg_residency_mean,c2_pkg_residency_cv%,c3_pkg_residency_mean,c3_pkg_residency_cv%,c6_pkg_residency_mean,c6_pkg_residency_cv%,c8_pkg_residency_mean,c8_pkg_residency_cv%,c10_pkg_residency_mean,c10_pkg_residency_cv%
cpp,spectral-norm,749190.933,1.551,11.939,1.397,3.655,1.029,0.0,0.0,0.417,1.722,0.0,0.0,3580377529.983,1.554,126563538.45,4.35,715498.467,57.184,3965.4,97.351,348547.367,17.338,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
cs,binary-trees,16762050.283,2.046,251.852,2.028,64.129,2.054,0.0,0.0,18.645,2.244,0.0,0.0,80267976148.783,2.046,1009446408.117,1.748,188352765.7,3.351,27016352.867,10.379,68276197.3,3.387,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
cs,division-loop,1604835.833,0.016,22.337,0.033,4.573,0.104,0.0,0.0,0.902,0.164,0.0,0.0,1280626837.967,0.016,1904840.633,0.212,5030195.5,0.167,43623.317,5.003,834654.667,0.139,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
cs,fannkuch-redux,20472640.0,0.042,313.132,0.088,86.549,0.291,0.0,0.0,11.407,0.047,0.0,0.0,98038667779.133,0.042,7890822.717,9.608,21866918.25,1.948,100380.533,6.506,2096130164.55,0.015,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
cs,fasta,1623095.2,1.739,23.665,1.627,5.703,1.466,0.0,0.0,0.982,1.798,0.0,0.0,7765521840.15,1.743,19098603.7,3.018,23524329.617,2.425,128128.9,6.456,57113644.85,0.718,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
cs,k-nucleotide,4094565.133,1.012,61.164,0.975,15.836,1.04,0.0,0.0,3.059,1.164,0.0,0.0,19601777493.717,1.013,282611646.6,0.719,17573701.417,3.908,1809986.9,16.386,41573245.25,0.477,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
cs,mandelbrot,8229381.433,0.349,121.431,0.477,30.35,1.176,0.0,0.0,4.627,0.37,0.0,0.0,39403974774.683,0.349,51658059.45,1.331,29883544.367,3.167,241724.667,5.776,24786495.667,2.302,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
cs,matrix-multiplication,41397699.383,0.122,576.542,0.123,118.214,0.145,0.0,0.0,23.06,0.124,0.0,0.0,33042880698.783,0.122,1030206714.55,0.075,5595826.017,0.16,56399.583,3.812,41191660.683,0.003,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
cs,n-body,20227350.267,0.004,281.624,0.014,57.67,0.062,0.0,0.0,11.271,0.011,0.0,0.0,16144989178.917,0.004,2108611.65,0.181,5663775.717,0.107,46794.333,1.622,1040080.483,0.403,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
cs,pidigits,3085519.9,0.225,42.96,0.224,8.805,0.255,0.0,0.0,1.728,0.25,0.0,0.0,2462503205.433,0.225,192980539.5,0.015,5620020.567,0.152,47558.667,5.074,1645028.783,0.214,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
cs,polynomial-evaluation,10109747.6,0.024,138.873,0.516,26.962,2.638,0.0,0.0,5.639,0.028,0.0,0.0,8069148938.45,0.024,2202744.8,0.207,5959298.75,0.14,50084.633,0.796,2076034.0,0.076,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
cs,regex-redux,7303485.583,0.521,106.027,0.629,25.171,1.571,0.0,0.0,4.587,0.694,0.0,0.0,34969736742.017,0.521,88328581.817,6.29,27954173.233,3.13,1020640.617,1.532,198557576.1,0.339,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
cs,reverse-complement,450280.483,2.408,6.418,2.357,1.435,2.261,0.0,0.0,0.316,2.419,0.0,0.0,2148751875.117,2.416,6804203.417,3.008,9089743.167,4.46,387991.65,2.585,2025001.5,3.177,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
cs,spectral-norm,1382016.967,0.942,21.404,0.866,6.117,0.749,0.0,0.0,0.78,1.148,0.0,0.0,6611013026.467,0.943,157335548.083,0.234,11650701.5,6.914,58257.933,19.084,2496564.7,5.444,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
java,binary-trees,6597268.867,2.783,102.615,2.629,28.144,2.464,0.0,0.0,9.228,1.381,0.0,0.0,31587670471.667,2.784,462719006.217,0.484,68630678.233,1.98,11322729.683,1.182,23957924.6,2.929,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
java,division-loop,2993161.767,2.967,41.692,2.975,8.551,3.012,0.0,0.0,1.695,2.945,0.0,0.0,2388772517.717,2.968,6567527.65,1.308,9449817.133,3.215,205603.2,1.237,2041338.783,1.919,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
java,fannkuch-redux,23783784.85,0.101,371.496,0.479,108.295,1.615,0.0,0.0,13.299,0.103,0.0,0.0,113896218601.05,0.101,37216460.983,3.883,38229999.517,1.714,324013.283,3.959,2059407632.467,0.102,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
java,fasta,1895840.583,1.433,26.895,1.396,5.914,1.879,0.0,0.0,1.168,1.327,0.0,0.0,9071704829.467,1.434,37793495.817,1.279,36367476.517,1.371,326869.017,2.983,60148111.033,0.182,0.0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
