scenario,language,test,nice,affinity,mode,iteration,time,pkg,cores,gpu,ram,psys,cycles,l1d_misses,l1i_misses,llc_misses,branch_misses,c1_core_residency,c3_core_residency,c6_core_residency,c7_core_residency,c2_pkg_residency,c3_pkg_residency,c6_pkg_residency,c8_pkg_residency,c10_pkg_residency,ended
fasta,c,optimized,,,process,1,1912984,25.541,4.184,,1.771,,4342894540,106982846,41895824,8683350,10025932,,0,0,0,0,0,0,0,0,1769251613562598
fasta,c,optimized,,,process,2,1960562,26.502,4.598,,1.864,,5199550535,121073405,45381428,8753819,15097693,,0,0,0,0,0,0,0,0,1769251626022012
fasta,c,optimized,,,process,3,1919603,25.773,4.328,,1.847,,4604644674,117555084,44846157,9529078,10669765,,0,0,0,0,0,0,0,0,1769251638452339
fasta,c,optimized,,,process,4,1910619,25.608,4.279,,1.749,,4277605755,106727459,41893543,7761945,9780606,,0,0,0,0,0,0,0,0,1769251650867422
fasta,c,optimized,,,process,5,1927945,25.989,4.439,,1.856,,4778900130,119889288,47046890,9252663,12206716,,0,0,0,0,0,0,0,0,1769251663304366
fasta,c,optimized,,,process,6,1966242,26.701,4.735,,1.883,,5258794878,120432607,45607068,9234912,16024096,,0,0,0,0,0,0,0,0,1769251675771798
fasta,c,optimized,,,process,7,1935186,25.814,4.188,,1.853,,4406612919,117066711,45215501,9873995,9759235,,0,0,0,0,0,0,0,0,1769251688214333
fasta,c,optimized,,,process,8,1911650,25.501,4.163,,1.739,,4314067890,105380243,40984084,7560182,10198943,,0,0,0,0,0,0,0,0,1769251700622176
fasta,c,optimized,,,process,9,1937714,26.46,4.797,,1.888,,5204966319,122911631,46530436,9594629,14507348,,0,0,0,0,0,0,0,0,1769251713062854
fasta,c,optimized,,,process,10,1943762,26.707,4.967,,1.945,,5608480642,133423672,46915456,10245829,16146948,,0,0,0,0,0,0,0,0,1769251725512468
fasta,c,optimized,,,process,11,1914310,25.524,4.143,,1.764,,4198096305,108010246,43504654,8568653,9183135,,0,0,0,0,0,0,0,0,1769251737937740
