scenario,language,test,nice,affinity,mode,iteration,time,pkg,cores,gpu,ram,psys,cycles,l1d_misses,l1i_misses,llc_misses,branch_misses,c1_core_residency,c3_core_residency,c6_core_residency,c7_core_residency,c2_pkg_residency,c3_pkg_residency,c6_pkg_residency,c8_pkg_residency,c10_pkg_residency,ended
polynomial-evaluation,java,server,-20,4,process,1,2554576,89.979,61.729,,1.45,,8155760473,3747306,7318934,146277,2715629,,0,0,0,0,0,0,0,0,1763471341885217
polynomial-evaluation,java,server,-20,4,process,2,2558801,89.971,61.649,,1.44,,8169257751,4113475,7651389,145668,2871000,,0,0,0,0,0,0,0,0,1763471344445627
polynomial-evaluation,java,server,-20,4,process,3,2570560,90.305,61.88,,1.447,,8206802408,4136845,7775154,143544,2935317,,0,0,0,0,0,0,0,0,1763471347017795
polynomial-evaluation,java,server,-20,4,process,4,2553130,89.506,61.255,,1.434,,8151155386,3725912,7176122,135932,2708442,,0,0,0,0,0,0,0,0,1763471349572512
polynomial-evaluation,java,server,-20,4,process,5,2553973,89.761,61.495,,1.438,,8153851490,3749893,7197596,142603,2685818,,0,0,0,0,0,0,0,0,1763471352128079
polynomial-evaluation,java,server,-20,4,process,6,2557839,89.939,61.624,,1.436,,8166182809,3904214,7430848,136941,2809113,,0,0,0,0,0,0,0,0,1763471354687523
polynomial-evaluation,java,server,-20,4,process,7,2557641,89.967,61.65,,1.44,,8165554708,3933562,7465661,143864,2818076,,0,0,0,0,0,0,0,0,1763471357246749
polynomial-evaluation,java,server,-20,4,process,8,2554073,89.8,61.499,,1.435,,8154169611,3767753,7366227,134926,2722401,,0,0,0,0,0,0,0,0,1763471359802410
polynomial-evaluation,java,server,-20,4,process,9,2556253,89.97,61.647,,1.44,,8161129796,3858295,7372675,143646,2707887,,0,0,0,0,0,0,0,0,1763471362360243
polynomial-evaluation,java,server,-20,4,process,10,2554897,89.789,61.505,,1.435,,8156797764,3829720,7161594,134483,2761220,,0,0,0,0,0,0,0,0,1763471364916740
division-loop,rust,release,-20,4,process,1,341158,12.07,8.297,,0.192,,1088870504,7486,20709,483,3111,,0,0,0,0,0,0,0,0,1763471365519611
division-loop,rust,release,-20,4,process,2,341081,12.036,8.264,,0.19,,1088653097,6976,15879,194,1840,,0,0,0,0,0,0,0,0,1763471365862137
division-loop,rust,release,-20,4,process,3,341083,12.035,8.261,,0.19,,1088663463,6843,15068,97,1406,,0,0,0,0,0,0,0,0,1763471366204635
division-loop,rust,release,-20,4,process,4,341166,12.045,8.273,,0.19,,1088930526,7742,21873,111,2086,,0,0,0,0,0,0,0,0,1763471366547188
division-loop,rust,release,-20,4,process,5,341094,12.049,8.273,,0.19,,1088701383,6634,14977,32,1259,,0,0,0,0,0,0,0,0,1763471366889669
division-loop,rust,release,-20,4,process,6,341209,12.203,8.435,,0.191,,1089062125,8274,22323,284,2098,,0,0,0,0,0,0,0,0,1763471367232262
division-loop,rust,release,-20,4,process,7,341271,12.122,8.314,,0.191,,1089254677,8797,24393,101,2179,,0,0,0,0,0,0,0,0,1763471367574968
division-loop,rust,release,-20,4,process,8,341092,12.112,8.339,,0.19,,1088691087,7026,14584,65,1217,,0,0,0,0,0,0,0,0,1763471367917461
division-loop,rust,release,-20,4,process,9,341196,12.112,8.34,,0.19,,1089024225,8192,22713,39,1972,,0,0,0,0,0,0,0,0,1763471368260054
division-loop,rust,release,-20,4,process,10,341161,12.086,8.314,,0.19,,1088898621,7896,20916,53,1768,,0,0,0,0,0,0,0,0,1763471368602603
polynomial-evaluation,rust,release,-20,4,process,1,2465224,84.242,56.932,,1.374,,7870507521,13004,35208,577,1003511,,0,0,0,0,0,0,0,0,1763471371352620
polynomial-evaluation,rust,release,-20,4,process,2,2465797,84.244,56.947,,1.374,,7872358227,11885,34369,354,1119156,,0,0,0,0,0,0,0,0,1763471373819877
polynomial-evaluation,rust,release,-20,4,process,3,2465558,84.217,56.947,,1.373,,7871599021,13151,36112,392,1003067,,0,0,0,0,0,0,0,0,1763471376286900
polynomial-evaluation,rust,release,-20,4,process,4,2465190,84.204,56.928,,1.372,,7870420872,13760,37572,399,1003213,,0,0,0,0,0,0,0,0,1763471378753550
polynomial-evaluation,rust,release,-20,4,process,5,2465214,84.217,56.905,,1.374,,7870499901,13308,37656,281,1003092,,0,0,0,0,0,0,0,0,1763471381220218
polynomial-evaluation,rust,release,-20,4,process,6,2465198,84.213,56.903,,1.373,,7870444640,13589,39520,449,1003007,,0,0,0,0,0,0,0,0,1763471383686870
polynomial-evaluation,rust,release,-20,4,process,7,2465173,84.182,56.908,,1.372,,7870367884,12890,36202,313,1002935,,0,0,0,0,0,0,0,0,1763471386153498
polynomial-evaluation,rust,release,-20,4,process,8,2465242,84.175,56.901,,1.373,,7870588060,14303,39742,354,1003126,,0,0,0,0,0,0,0,0,1763471388620188
polynomial-evaluation,rust,release,-20,4,process,9,2465331,84.183,56.912,,1.372,,7870873926,13251,36139,301,1002739,,0,0,0,0,0,0,0,0,1763471391086977
polynomial-evaluation,rust,release,-20,4,process,10,2465373,84.212,56.942,,1.373,,7870989397,16367,45768,394,1003872,,0,0,0,0,0,0,0,0,1763471393553807
polynomial-evaluation,cs,release,-20,4,process,1,2520085,86.28,58.387,,1.41,,8045649604,1975010,5832664,41378,2029709,,0,0,0,0,0,0,0,0,1763471400047784
polynomial-evaluation,cs,release,-20,4,process,2,2520302,86.557,58.674,,1.412,,8046342624,1981033,5819113,43183,2023100,,0,0,0,0,0,0,0,0,1763471402569619
polynomial-evaluation,cs,release,-20,4,process,3,2520029,86.246,58.356,,1.408,,8045474462,1973804,5809027,37464,2022776,,0,0,0,0,0,0,0,0,1763471405091168
polynomial-evaluation,cs,release,-20,4,process,4,2520022,86.319,58.427,,1.412,,8045456697,1972398,5833045,42663,2020061,,0,0,0,0,0,0,0,0,1763471407612725
polynomial-evaluation,cs,release,-20,4,process,5,2519623,86.246,58.345,,1.408,,8044180973,1967511,5789952,36157,2021254,,0,0,0,0,0,0,0,0,1763471410133862
polynomial-evaluation,cs,release,-20,4,process,6,2520279,86.324,58.441,,1.411,,8046270811,1980870,5833216,41807,2020873,,0,0,0,0,0,0,0,0,1763471412655675
polynomial-evaluation,cs,release,-20,4,process,7,2519732,86.2,58.337,,1.406,,8044526247,1972379,5798433,36079,2019484,,0,0,0,0,0,0,0,0,1763471415176924
polynomial-evaluation,cs,release,-20,4,process,8,2520404,86.357,58.439,,1.412,,8046672355,1979814,5837356,42552,2022749,,0,0,0,0,0,0,0,0,1763471417698853
polynomial-evaluation,cs,release,-20,4,process,9,2519858,86.248,58.351,,1.408,,8044930440,1969740,5809085,36334,2019269,,0,0,0,0,0,0,0,0,1763471420220223
polynomial-evaluation,cs,release,-20,4,process,10,2520188,86.312,58.427,,1.411,,8045979813,1978927,5833175,42058,2023505,,0,0,0,0,0,0,0,0,1763471422741938
polynomial-evaluation,cpp,optimized,-20,4,process,1,1208089,41.236,27.867,,0.672,,3856765633,16856,40693,658,1005558,,0,0,0,0,0,0,0,0,1763471424437504
polynomial-evaluation,cpp,optimized,-20,4,process,2,1207939,41.277,27.903,,0.675,,3856312119,14435,32823,670,1003894,,0,0,0,0,0,0,0,0,1763471425646879
polynomial-evaluation,cpp,optimized,-20,4,process,3,1207799,41.209,27.866,,0.672,,3855865122,12607,26926,270,1002833,,0,0,0,0,0,0,0,0,1763471426856142
polynomial-evaluation,cpp,optimized,-20,4,process,4,1207874,41.36,27.983,,0.686,,3856099058,12928,28546,1753,1002716,,0,0,0,0,0,0,0,0,1763471428065438
polynomial-evaluation,cpp,optimized,-20,4,process,5,1207846,41.24,27.86,,0.673,,3856012424,13008,26982,383,1002677,,0,0,0,0,0,0,0,0,1763471429274840
polynomial-evaluation,cpp,optimized,-20,4,process,6,1207882,41.242,27.867,,0.672,,3856136441,14412,30570,121,1002895,,0,0,0,0,0,0,0,0,1763471430484174
polynomial-evaluation,cpp,optimized,-20,4,process,7,1207916,41.274,27.9,,0.674,,3856244430,13962,30871,453,1002951,,0,0,0,0,0,0,0,0,1763471431693518
polynomial-evaluation,cpp,optimized,-20,4,process,8,1207906,41.254,27.914,,0.673,,3856203864,13976,29698,456,1002672,,0,0,0,0,0,0,0,0,1763471432902861
polynomial-evaluation,cpp,optimized,-20,4,process,9,1207884,41.242,27.866,,0.672,,3856140245,13870,29417,182,1002687,,0,0,0,0,0,0,0,0,1763471434112192
