scenario,language,test,nice,affinity,mode,iteration,time,pkg,cores,gpu,ram,psys,cycles,l1d_misses,l1i_misses,llc_misses,branch_misses,c1_core_residency,c3_core_residency,c6_core_residency,c7_core_residency,c2_pkg_residency,c3_pkg_residency,c6_pkg_residency,c8_pkg_residency,c10_pkg_residency,ended
division-loop,rust,release,-20,4,process,1,1364404,18.936,3.827,,0.762,,1088716831,8005,19265,462,2584,,0,0,0,0,0,0,0,0,1763468042053366
division-loop,rust,release,-20,4,process,2,1364724,18.926,3.832,,0.761,,1088971107,10177,29457,543,2976,,0,0,0,0,0,0,0,0,1763468043423919
division-loop,rust,release,-20,4,process,3,1364468,18.936,3.828,,0.76,,1088777275,8592,23661,170,2093,,0,0,0,0,0,0,0,0,1763468044794216
division-loop,rust,release,-20,4,process,4,1364482,18.924,3.829,,0.759,,1088788360,8156,22529,44,1863,,0,0,0,0,0,0,0,0,1763468046164445
division-loop,rust,release,-20,4,process,5,1364733,18.943,3.836,,0.762,,1088983524,10060,28624,473,2438,,0,0,0,0,0,0,0,0,1763468047534895
division-loop,rust,release,-20,4,process,6,1364443,18.924,3.828,,0.759,,1088758365,8664,24660,218,1882,,0,0,0,0,0,0,0,0,1763468048905180
division-loop,rust,release,-20,4,process,7,1364547,18.921,3.826,,0.759,,1088845285,8336,23293,63,1627,,0,0,0,0,0,0,0,0,1763468050275427
division-loop,rust,release,-20,4,process,8,1364617,18.937,3.827,,0.759,,1088901601,9295,24749,88,2036,,0,0,0,0,0,0,0,0,1763468051645719
division-loop,rust,release,-20,4,process,9,1364626,18.936,3.827,,0.762,,1088900445,8586,24635,454,1919,,0,0,0,0,0,0,0,0,1763468053015965
division-loop,rust,release,-20,4,process,10,1364645,18.92,3.811,,0.76,,1088922257,9630,28389,160,2116,,0,0,0,0,0,0,0,0,1763468054386410
division-loop,cs,release,-20,4,process,1,1580057,22.101,4.615,,0.901,,1260835908,1700413,5094182,44049,799521,,0,0,0,0,0,0,0,0,1763468072838023
division-loop,cs,release,-20,4,process,2,1577849,22.002,4.534,,0.886,,1259086393,1688663,4988105,38681,783731,,0,0,0,0,0,0,0,0,1763468074421897
division-loop,cs,release,-20,4,process,3,1577685,21.932,4.464,,0.885,,1258937111,1690329,4991158,35561,783927,,0,0,0,0,0,0,0,0,1763468076005493
division-loop,cs,release,-20,4,process,4,1577708,21.932,4.465,,0.887,,1258961552,1690842,4997964,37039,784070,,0,0,0,0,0,0,0,0,1763468077589074
division-loop,cs,release,-20,4,process,5,1577715,21.921,4.467,,0.886,,1258977710,1684838,5008965,37009,782982,,0,0,0,0,0,0,0,0,1763468079172672
division-loop,cs,release,-20,4,process,6,1577572,21.931,4.462,,0.884,,1258867077,1692397,5000005,33091,783735,,0,0,0,0,0,0,0,0,1763468080756169
division-loop,cs,release,-20,4,process,7,1578356,21.934,4.469,,0.887,,1259491439,1686372,5023406,37839,787083,,0,0,0,0,0,0,0,0,1763468082340410
division-loop,cs,release,-20,4,process,8,1577826,21.93,4.463,,0.887,,1259059571,1686816,5007638,37583,784016,,0,0,0,0,0,0,0,0,1763468083924106
division-loop,cs,release,-20,4,process,9,1577270,21.914,4.458,,0.884,,1258622936,1687046,4992501,33308,782778,,0,0,0,0,0,0,0,0,1763468085507283
division-loop,cs,release,-20,4,process,10,1577701,21.932,4.466,,0.887,,1258967462,1687302,5003434,37485,783239,,0,0,0,0,0,0,0,0,1763468087090868
matrix-multiplication,java,server,-20,4,process,1,39981023,555.67,113.192,,22.31,,31912123574,1019931377,9607993,146071,2508709,,0,0,0,0,0,0,0,0,1763468129029027
matrix-multiplication,java,server,-20,4,process,2,39952092,555.259,113.096,,22.276,,31889028869,1019621530,9417578,138636,2416622,,0,0,0,0,0,0,0,0,1763468168987416
matrix-multiplication,java,server,-20,4,process,3,39908343,554.4,112.767,,22.249,,31854120089,1019776673,9293315,140325,2411260,,0,0,0,0,0,0,0,0,1763468208901884
matrix-multiplication,java,server,-20,4,process,4,39956105,555.122,112.918,,22.278,,31892238214,1019477486,9240269,141115,2415858,,0,0,0,0,0,0,0,0,1763468248864100
matrix-multiplication,java,server,-20,4,process,5,39937961,555.381,113.405,,22.272,,31877745059,1019657249,9444549,141478,2369477,,0,0,0,0,0,0,0,0,1763468288808168
matrix-multiplication,java,server,-20,4,process,6,39909671,555.131,113.459,,22.252,,31855141182,1019905087,9377773,138707,2420468,,0,0,0,0,0,0,0,0,1763468328723942
matrix-multiplication,java,server,-20,4,process,7,39877926,554.802,113.475,,22.232,,31829837697,1019901556,9660008,139803,2486391,,0,0,0,0,0,0,0,0,1763468368607977
matrix-multiplication,java,server,-20,4,process,8,39963858,556.063,113.771,,22.291,,31898425931,1019689197,9384815,146693,2429533,,0,0,0,0,0,0,0,0,1763468408577914
matrix-multiplication,java,server,-20,4,process,9,39906590,555.324,113.653,,22.248,,31852716944,1019526153,9168398,137756,2301747,,0,0,0,0,0,0,0,0,1763468448490626
matrix-multiplication,java,server,-20,4,process,10,39946893,555.935,113.816,,22.268,,31884887663,1019643475,9241362,138859,2399201,,0,0,0,0,0,0,0,0,1763468488443605
matrix-multiplication,c,optimized,-20,4,process,1,35565367,494.712,101.073,,19.818,,28387565163,1040847166,261431,6932,40319228,,0,0,0,0,0,0,0,0,1763468524345489
matrix-multiplication,c,optimized,-20,4,process,2,35506478,493.543,100.547,,19.777,,28340595285,1039285522,276214,3474,40319661,,0,0,0,0,0,0,0,0,1763468559857833
matrix-multiplication,c,optimized,-20,4,process,3,35510236,494.002,100.972,,19.778,,28343592257,1043139406,242409,5483,40314744,,0,0,0,0,0,0,0,0,1763468595373927
matrix-multiplication,c,optimized,-20,4,process,4,35571636,494.62,100.912,,19.813,,28392601522,1039442304,273139,3404,40315405,,0,0,0,0,0,0,0,0,1763468630951434
matrix-multiplication,c,optimized,-20,4,process,5,35537443,494.349,100.999,,19.795,,28365298967,1044139587,273772,5491,40318135,,0,0,0,0,0,0,0,0,1763468666494722
matrix-multiplication,c,optimized,-20,4,process,6,35628655,495.843,101.491,,19.85,,28438112464,1041243028,869515,40174,40436566,,0,0,0,0,0,0,0,0,1763468702129251
matrix-multiplication,c,optimized,-20,4,process,7,35504707,494.012,101.04,,19.771,,28339151144,1038946845,295141,3675,40319658,,0,0,0,0,0,0,0,0,1763468737639891
matrix-multiplication,c,optimized,-20,4,process,8,35514009,494.058,100.985,,19.774,,28346606185,1040967919,283554,2334,40320307,,0,0,0,0,0,0,0,0,1763468773159766
matrix-multiplication,c,optimized,-20,4,process,9,35559682,494.713,101.15,,19.799,,28383061077,1042396532,274970,2685,40318353,,0,0,0,0,0,0,0,0,1763468808725275
matrix-multiplication,c,optimized,-20,4,process,10,35471411,493.345,100.745,,19.751,,28312596757,1039307218,270795,2536,40316040,,0,0,0,0,0,0,0,0,1763468844202545
division-loop,cpp,optimized,-20,4,process,1,1366702,18.927,3.811,,0.763,,1090550141,13073,31273,734,3590,,0,0,0,0,0,0,0,0,1763468846941074
division-loop,cpp,optimized,-20,4,process,2,1366347,18.988,3.857,,0.763,,1090274125,11797,27862,482,2662,,0,0,0,0,0,0,0,0,1763468848313200
division-loop,cpp,optimized,-20,4,process,3,1366326,18.978,3.859,,0.76,,1090255592,11765,27237,182,2567,,0,0,0,0,0,0,0,0,1763468849685384
division-loop,cpp,optimized,-20,4,process,4,1366263,19.0,3.881,,0.76,,1090209724,11047,24806,70,2224,,0,0,0,0,0,0,0,0,1763468851057329
division-loop,cpp,optimized,-20,4,process,5,1366419,18.989,3.872,,0.762,,1090336814,12603,29805,302,2645,,0,0,0,0,0,0,0,0,1763468852429412
division-loop,cpp,optimized,-20,4,process,6,1366663,18.964,3.848,,0.762,,1090518430,13529,35767,483,3294,,0,0,0,0,0,0,0,0,1763468853801802
division-loop,cpp,optimized,-20,4,process,7,1366229,18.978,3.845,,0.761,,1090185529,11436,24698,198,2293,,0,0,0,0,0,0,0,0,1763468855173787
division-loop,cpp,optimized,-20,4,process,8,1366405,19.008,3.876,,0.761,,1090325444,12508,29351,85,2645,,0,0,0,0,0,0,0,0,1763468856545855
division-loop,cpp,optimized,-20,4,process,9,1366295,18.932,3.814,,0.762,,1090243028,11434,25735,365,2322,,0,0,0,0,0,0,0,0,1763468857917798
division-loop,cpp,optimized,-20,4,process,10,1366452,18.943,3.827,,0.761,,1090359495,12853,30512,460,2675,,0,0,0,0,0,0,0,0,1763468859289995
polynomial-evaluation,c,optimized,-20,4,process,1,4773174,63.849,11.021,,2.661,,3809565089,17169,48081,764,1004078,,0,0,0,0,0,0,0,0,1763468864301346
polynomial-evaluation,c,optimized,-20,4,process,2,4772907,64.832,12.014,,2.658,,3809345996,17066,48983,532,1003758,,0,0,0,0,0,0,0,0,1763468869080091
polynomial-evaluation,c,optimized,-20,4,process,3,4773411,64.63,11.814,,2.658,,3809759828,20807,61046,548,1004810,,0,0,0,0,0,0,0,0,1763468873859324
polynomial-evaluation,c,optimized,-20,4,process,4,4773049,64.727,11.898,,2.658,,3809463572,17546,51519,438,1003680,,0,0,0,0,0,0,0,0,1763468878638231
polynomial-evaluation,c,optimized,-20,4,process,5,4772863,64.698,11.879,,2.658,,3809322317,14665,43117,478,1002985,,0,0,0,0,0,0,0,0,1763468883416895
polynomial-evaluation,c,optimized,-20,4,process,6,4773029,64.319,11.504,,2.657,,3809451124,17756,52298,439,1003826,,0,0,0,0,0,0,0,0,1763468888195831
polynomial-evaluation,c,optimized,-20,4,process,7,4772921,64.402,11.585,,2.658,,3809369660,16483,48633,486,1003431,,0,0,0,0,0,0,0,0,1763468892974509
polynomial-evaluation,c,optimized,-20,4,process,8,4773436,64.341,11.525,,2.658,,3809781601,19640,57239,518,1004078,,0,0,0,0,0,0,0,0,1763468897753707
polynomial-evaluation,c,optimized,-20,4,process,9,4773119,64.341,11.525,,2.658,,3809514552,18423,52961,466,1003646,,0,0,0,0,0,0,0,0,1763468902532582
polynomial-evaluation,c,optimized,-20,4,process,10,4772904,64.496,11.678,,2.658,,3809346380,15476,46600,449,1003036,,0,0,0,0,0,0,0,0,1763468907311289
division-loop,java,server,-20,4,process,1,7808550,104.02,17.605,,4.367,,6232362469,3995876,7641767,134488,1778408,,0,0,0,0,0,0,0,0,1763468916863688
division-loop,java,server,-20,4,process,2,7811199,104.204,17.772,,4.369,,6234477719,4006432,7828881,133761,1805646,,0,0,0,0,0,0,0,0,1763468924680965
division-loop,java,server,-20,4,process,3,7811713,103.979,17.535,,4.368,,6234890618,4020531,7841599,133289,1810570,,0,0,0,0,0,0,0,0,1763468932498749
division-loop,java,server,-20,4,process,4,7808555,104.315,17.903,,4.367,,6232366074,3952937,7748323,133528,1804975,,0,0,0,0,0,0,0,0,1763468940313409
division-loop,java,server,-20,4,process,5,7825739,104.313,17.71,,4.376,,6246076562,4092238,7917718,132903,1846731,,0,0,0,0,0,0,0,0,1763468948145251
