mode,language,scenario,time_mean,time_cv%,pkg_mean,pkg_cv%,cores_mean,cores_cv%,gpu_mean,gpu_cv%,ram_mean,ram_cv%,psys_mean,psys_cv%,cycles_mean,cycles_cv%,l1d_misses_mean,l1d_misses_cv%,l1i_misses_mean,l1i_misses_cv%,llc_misses_mean,llc_misses_cv%,branch_misses_mean,branch_misses_cv%,c1_core_residency_mean,c1_core_residency_cv%,c3_core_residency_mean,c3_core_residency_cv%,c6_core_residency_mean,c6_core_residency_cv%,c7_core_residency_mean,c7_core_residency_cv%,c2_pkg_residency_mean,c2_pkg_residency_cv%,c3_pkg_residency_mean,c3_pkg_residency_cv%,c6_pkg_residency_mean,c6_pkg_residency_cv%,c8_pkg_residency_mean,c8_pkg_residency_cv%,c10_pkg_residency_mean,c10_pkg_residency_cv%
external,cpp,binary-trees,2112524.55,0.663,85.768,1.087,62.367,1.436,0.0,0.0,1.699,1.964,0.0,0.0,10082921085.6,2.512,209894959.083,2.057,43635249.5,4.433,3496668.6,8.407,7603945.433,19.317,0.0,0.0,63481205.333,18.674,1474884400.0,10.793,30792271521.067,1.072,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,cpp,fannkuch-redux,3111996.783,0.756,363.17,0.465,328.72,0.444,0.0,0.0,1.794,2.29,0.0,0.0,151385660015.183,0.415,19344162.967,27.859,33308482.333,5.03,550614.033,53.541,2637728677.067,0.764,0.0,0.0,3047662.933,64.807,54027166.933,57.434,522881566.4,52.667,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,cpp,fasta,194017.283,3.557,13.521,3.54,11.397,4.42,0.0,0.0,0.134,3.568,0.0,0.0,3198838271.2,1.252,14380481.883,1.923,13140844.85,4.304,156620.683,12.855,55937781.7,0.223,0.0,0.0,21817914.667,34.693,439980574.933,10.454,937834754.133,8.321,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,cpp,k-nucleotide,485973.633,2.272,39.439,1.44,34.027,1.413,0.0,0.0,0.623,3.707,0.0,0.0,13851810076.9,1.358,284140889.267,0.709,13238677.083,7.64,1945522.45,8.49,25955300.467,3.19,0.0,0.0,30484100.267,35.096,739152946.133,11.467,2667834095.467,4.934,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,cpp,mandelbrot,1263359.267,0.991,141.081,0.648,127.11,0.622,0.0,0.0,0.761,3.183,0.0,0.0,59005763792.483,0.592,41495668.3,8.599,14293424.633,9.638,454520.15,40.393,41102996.5,2.976,0.0,0.0,7095491.733,115.793,36234851.733,41.842,220931729.6,56.936,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,cpp,n-body,1878368.1,0.722,75.49,2.009,54.735,2.662,0.0,0.0,1.086,3.758,0.0,0.0,8953474663.55,4.468,10603955.683,67.872,33899701.483,6.312,459415.367,92.342,4894001.933,46.187,0.0,0.0,60129951.467,18.781,1178029677.867,12.276,27641989875.2,1.197,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,cpp,pidigits,503184.3,1.765,19.667,2.737,14.133,3.694,0.0,0.0,0.29,5.342,0.0,0.0,2367544022.5,6.002,193187890.5,1.472,9484300.583,11.795,118169.9,136.968,2097501.5,41.289,0.0,0.0,17951343.467,42.743,339297484.267,21.37,7343200983.467,2.341,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,cpp,regex-redux,1104510.75,1.652,76.133,1.254,63.832,1.389,0.0,0.0,1.118,1.967,0.0,0.0,18001101897.383,1.275,96403713.0,12.308,25886331.117,6.232,1792433.517,13.072,196770251.25,0.785,0.0,0.0,36480635.733,32.228,827560100.8,15.302,9945331302.4,3.369,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,cpp,reverse-complement,94755.45,1.353,4.057,9.761,3.037,12.859,0.0,0.0,0.122,7.882,0.0,0.0,585579077.717,20.331,9440436.933,18.211,4776964.8,12.104,893617.633,13.479,733960.633,84.706,0.0,0.0,28839120.0,47.498,403376496.0,10.404,789269716.267,8.3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,cpp,spectral-norm,151740.25,8.763,17.024,5.236,15.394,4.927,0.0,0.0,0.088,14.499,0.0,0.0,7408343154.8,7.557,88262407.667,2.383,1997192.2,30.476,35389.083,187.296,534343.3,80.14,0.0,0.0,976181.867,68.853,4639540.8,44.897,2874000.533,72.425,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,cs,binary-trees,4310412.733,3.756,341.24,3.318,291.087,3.253,0.0,0.0,10.64,3.797,0.0,0.0,97233597868.05,4.403,1066508681.967,3.318,232405510.15,4.784,44403017.6,4.381,101835467.5,6.322,0.0,0.0,364916377.067,11.842,9810434467.733,10.094,19302251840.0,4.119,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,cs,fannkuch-redux,3122987.85,2.365,369.347,1.546,334.814,1.463,0.0,0.0,1.803,2.865,0.0,0.0,156172865112.3,1.356,29526893.683,17.496,36710244.583,5.617,594833.45,48.702,2273692693.4,0.641,0.0,0.0,11628067.733,62.77,271127646.933,10.047,127166428.267,20.015,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,cs,fasta,260784.85,0.765,22.161,1.338,19.336,1.495,0.0,0.0,0.204,6.874,0.0,0.0,4830491870.083,2.658,17479834.183,10.261,15046047.867,4.718,254519.55,39.412,55870020.2,0.999,0.0,0.0,27491570.667,36.097,268178540.8,17.713,993790226.667,7.577,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,cs,k-nucleotide,988251.9,3.778,81.996,3.537,71.026,3.832,0.0,0.0,1.233,2.558,0.0,0.0,19502496642.467,4.962,333819512.533,4.611,26158997.917,6.387,3091889.0,12.584,48318518.45,2.475,0.0,0.0,25295006.4,37.833,544726861.867,22.225,5366619256.0,12.991,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,cs,mandelbrot,1088624.133,3.124,123.928,3.277,111.955,3.295,0.0,0.0,0.654,4.998,0.0,0.0,50922530931.083,3.068,47480677.317,9.904,25122823.017,7.167,553752.667,39.548,29931201.25,27.993,0.0,0.0,14100347.2,66.055,82353699.2,30.65,397444712.0,9.029,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,cs,n-body,3678701.033,0.222,137.386,1.079,96.712,1.472,0.0,0.0,2.116,1.959,0.0,0.0,17472287719.117,2.322,19301494.333,37.296,69282160.4,4.301,780563.4,56.627,9485472.45,23.967,0.0,0.0,105102096.0,16.234,2408197390.933,9.264,54147442677.867,0.697,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,cs,pidigits,549105.883,0.518,21.512,4.177,15.485,5.635,0.0,0.0,0.321,8.125,0.0,0.0,2615067151.017,9.753,195164979.083,2.34,13354558.033,11.134,183673.517,150.37,2695618.983,52.7,0.0,0.0,26070334.4,40.019,386081491.2,18.602,7950575156.267,2.406,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,cs,regex-redux,1387651.467,1.839,86.456,1.351,71.489,1.424,0.0,0.0,1.127,2.291,0.0,0.0,19353125047.633,2.09,85629308.967,9.416,38994611.767,4.209,1485298.417,15.96,198834482.567,0.838,0.0,0.0,54483225.6,26.495,928498390.4,14.373,13681857407.467,3.54,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,cs,reverse-complement,62397.45,5.928,3.312,5.039,2.758,4.928,0.0,0.0,0.066,5.667,0.0,0.0,624096360.6,9.79,5590783.35,9.198,4306338.283,6.727,617253.133,5.806,1236111.1,12.365,0.0,0.0,8388174.4,50.789,187839188.267,19.125,257953339.733,25.215,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,java,binary-trees,1911302.367,1.548,172.476,1.904,151.07,1.993,0.0,0.0,5.871,1.266,0.0,0.0,56153871765.017,2.665,513773468.75,1.536,109661461.55,4.739,22239672.7,3.273,37645123.233,8.756,0.0,0.0,42691448.0,33.561,854478891.733,15.992,4235698389.867,7.281,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,java,fannkuch-redux,3939510.25,0.398,439.712,0.449,396.159,0.477,0.0,0.0,2.303,1.66,0.0,0.0,182231871064.867,0.358,60183463.983,11.64,54096361.25,3.831,936549.117,34.312,2332056661.267,0.427,0.0,0.0,12334851.2,31.297,339147898.133,17.001,674667935.467,23.116,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,java,mandelbrot,1487629.733,0.795,171.956,0.616,155.586,0.597,0.0,0.0,0.911,2.726,0.0,0.0,72741142412.167,0.699,65937609.833,7.3,33477647.883,5.225,721002.233,27.656,19533624.833,7.603,0.0,0.0,16752648.0,56.022,243991915.733,11.365,174141941.867,20.818,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,java,n-body,3205511.233,1.659,121.966,1.395,86.564,1.72,0.0,0.0,1.864,2.585,0.0,0.0,15540776983.533,2.828,21758327.05,34.757,65870454.983,3.687,847835.217,53.019,9403799.283,24.958,0.0,0.0,99687256.0,19.259,2095838377.067,10.975,46863940418.667,1.946,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
external,java,spectral-norm,401506.2,7.882,43.754,7.376,39.355,7.316,0.0,0.0,0.259,9.202,0.0,0.0,18450742175.533,7.439,127508320.083,2.454,25827850.583,5.515,295176.217,43.362,3755898.483,20.786,0.0,0.0,55624559.467,19.619,123614921.067,44.647,3862522.667,154.791,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,c,binary-trees,616215.917,3.308,63.266,1.728,56.273,1.785,0.0,0.0,1.1,3.135,0.0,0.0,18339849825.05,3.311,200315537.767,4.37,10256519.433,12.236,3248800.9,10.375,12052906.967,27.748,0.0,0.0,5450956.8,45.215,143718364.8,29.832,1565320353.6,19.836,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,c,fannkuch-redux,2780925.967,0.884,325.81,0.426,295.035,0.387,0.0,0.0,1.6,2.602,0.0,0.0,135865777524.283,0.343,16852962.733,32.162,29261183.033,6.61,459642.25,64.189,2643200066.483,0.183,0.0,0.0,2492949.333,61.642,58742394.133,51.001,573615987.2,49.432,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,c,fasta,292487.133,6.128,9.692,1.741,6.486,2.987,0.0,0.0,0.184,6.516,0.0,0.0,1313590434.983,3.179,13650040.217,3.824,8645951.2,11.233,122977.833,29.118,807113.033,21.74,0.0,0.0,8856166.933,31.252,193988154.667,24.276,4227199936.533,6.108,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,c,k-nucleotide,535441.617,5.386,40.343,1.364,34.442,1.252,0.0,0.0,0.405,5.223,0.0,0.0,9065030097.083,2.026,284091797.55,0.89,11117117.517,12.035,1251802.067,14.429,36030252.683,1.517,0.0,0.0,14434834.667,66.047,337956258.667,27.298,4140202728.533,12.562,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,c,mandelbrot,366639.767,2.59,42.873,1.33,38.843,1.223,0.0,0.0,0.235,6.44,0.0,0.0,18218713532.867,1.333,33700887.333,5.583,4181598.783,22.598,246973.267,42.574,5175686.85,12.37,0.0,0.0,333821.867,156.057,6613462.4,74.322,21614580.267,299.525,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,c,n-body,2016395.467,0.641,79.424,1.633,57.138,2.248,0.0,0.0,1.163,3.231,0.0,0.0,9579803971.0,3.922,10949591.95,63.587,35739440.383,5.265,459978.7,89.728,5079392.933,42.271,0.0,0.0,53055050.133,20.958,1199482637.333,13.51,29778268212.8,1.075,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,c,pidigits,537743.133,3.3,21.074,4.472,15.156,5.908,0.0,0.0,0.314,9.124,0.0,0.0,2524191359.283,10.557,257366446.133,1.793,10392027.067,16.744,159176.083,166.755,2293961.767,61.956,0.0,0.0,15569556.267,39.083,349063872.0,22.209,7833635074.133,3.691,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,c,regex-redux,880956.933,2.238,67.376,1.411,57.606,1.562,0.0,0.0,0.857,2.16,0.0,0.0,18771166354.167,1.941,35618385.983,7.045,17690168.6,5.4,1419094.617,10.609,196620308.933,0.887,0.0,0.0,24463685.333,38.361,494166079.467,21.178,6543588555.2,5.263,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
internal,c,reverse-complement,33433.6,13.786,1.834,9.415,1.472,11.132,0.0,0.0,0.051,6.476,0.0,0.0,583949282.2,8.351,7502034.033,3.061,4593854.933,7.062,467219.433,2.885,608483.667,7.99,0.0,0.0,20399098.667,27.05,101070059.733,15.738,96146788.8,45.778,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
