scenario,language,test,nice,affinity,mode,iteration,time,pkg,cores,gpu,ram,psys,cycles,l1d_misses,l1i_misses,llc_misses,branch_misses,c1_core_residency,c3_core_residency,c6_core_residency,c7_core_residency,c2_pkg_residency,c3_pkg_residency,c6_pkg_residency,c8_pkg_residency,c10_pkg_residency,ended
matrix-multiplication,cs,release,-20,4,process,1,41308521,575.701,118.665,,23.042,,32970803149,1032637146,5885926,57780,41168816,,0,0,0,0,0,0,0,0,1763477546265290
matrix-multiplication,cs,release,-20,4,process,2,41315609,575.056,117.925,,23.018,,32976470406,1031521226,5866409,45218,41167228,,0,0,0,0,0,0,0,0,1763477587586857
matrix-multiplication,cs,release,-20,4,process,3,41320920,575.13,117.973,,23.026,,32980688550,1031423406,5877429,45260,41167580,,0,0,0,0,0,0,0,0,1763477628913643
matrix-multiplication,cs,release,-20,4,process,4,41261814,574.259,117.741,,22.986,,32933521672,1031316937,5820920,46461,41162312,,0,0,0,0,0,0,0,0,1763477670181336
matrix-multiplication,cs,release,-20,4,process,5,41315045,575.05,117.962,,23.021,,32976004500,1031107292,5832257,47792,41164095,,0,0,0,0,0,0,0,0,1763477711502288
matrix-multiplication,cs,release,-20,4,process,6,41206370,573.663,117.758,,22.962,,32889260889,1030986260,5874793,47600,41166159,,0,0,0,0,0,0,0,0,1763477752714565
matrix-multiplication,cs,release,-20,4,process,7,41300322,574.895,117.941,,23.011,,32964251305,1030672660,5907052,47712,41168802,,0,0,0,0,0,0,0,0,1763477794020746
matrix-multiplication,cs,release,-20,4,process,8,41338513,575.413,118.04,,23.036,,32994721405,1030862366,5861054,46987,41166422,,0,0,0,0,0,0,0,0,1763477835365149
matrix-multiplication,cs,release,-20,4,process,9,41344886,575.441,118.009,,23.032,,32999812993,1031353247,5855660,47407,41165106,,0,0,0,0,0,0,0,0,1763477876715923
matrix-multiplication,cs,release,-20,4,process,10,41374570,575.915,118.176,,23.05,,33023489189,1030299539,5872438,47317,41166381,,0,0,0,0,0,0,0,0,1763477918096394
polynomial-evaluation,cs,release,-20,4,process,1,10079943,140.288,28.757,,5.665,,8045142437,2018678,6020780,52082,2034250,,0,0,0,0,0,0,0,0,1763477935675286
polynomial-evaluation,cs,release,-20,4,process,2,10078663,139.052,27.521,,5.621,,8044122386,2006115,5993627,43271,2031988,,0,0,0,0,0,0,0,0,1763477945759873
polynomial-evaluation,cs,release,-20,4,process,3,10078863,139.6,28.08,,5.633,,8044277869,2009518,6003839,43868,2033398,,0,0,0,0,0,0,0,0,1763477955844623
polynomial-evaluation,cs,release,-20,4,process,4,10078709,139.211,27.681,,5.619,,8044151260,2006032,6005114,42130,2030583,,0,0,0,0,0,0,0,0,1763477965929230
polynomial-evaluation,cs,release,-20,4,process,5,10078268,138.58,27.047,,5.62,,8043806530,2002571,5981846,42248,2028889,,0,0,0,0,0,0,0,0,1763477976013398
polynomial-evaluation,cs,release,-20,4,process,6,10077214,137.927,26.41,,5.625,,8043986008,2004349,5988919,42773,2029025,,0,0,0,0,0,0,0,0,1763477986096503
polynomial-evaluation,cs,release,-20,4,process,7,10077437,137.044,25.52,,5.62,,8044226938,2012142,5998802,42855,2030587,,0,0,0,0,0,0,0,0,1763477996179805
polynomial-evaluation,cs,release,-20,4,process,8,10077552,137.383,25.847,,5.621,,8044310079,2013740,5993552,42680,2030813,,0,0,0,0,0,0,0,0,1763478006263218
polynomial-evaluation,cs,release,-20,4,process,9,10077179,137.223,25.698,,5.625,,8043984469,2007771,6001570,42811,2030049,,0,0,0,0,0,0,0,0,1763478016346239
polynomial-evaluation,cs,release,-20,4,process,10,10076873,137.486,25.949,,5.619,,8043730451,2010193,5975918,42203,2029613,,0,0,0,0,0,0,0,0,1763478026428926
polynomial-evaluation,rust,release,-20,4,process,1,9861700,135.515,26.373,,5.493,,7871942727,30180,81280,975,1008823,,0,0,0,0,0,0,0,0,1763478037410328
polynomial-evaluation,rust,release,-20,4,process,2,9861648,134.755,25.613,,5.497,,7871895297,30121,83732,1393,1008109,,0,0,0,0,0,0,0,0,1763478047277842
polynomial-evaluation,rust,release,-20,4,process,3,9861609,135.488,26.34,,5.491,,7871844709,29784,83155,842,1007789,,0,0,0,0,0,0,0,0,1763478057145320
polynomial-evaluation,rust,release,-20,4,process,4,9861974,135.247,26.103,,5.492,,7872122006,32221,89612,811,1008027,,0,0,0,0,0,0,0,0,1763478067013143
polynomial-evaluation,rust,release,-20,4,process,5,9861887,134.118,24.973,,5.497,,7872040613,31929,88413,1128,1007937,,0,0,0,0,0,0,0,0,1763478076880886
polynomial-evaluation,rust,release,-20,4,process,6,9861966,135.252,26.107,,5.493,,7872083244,33218,89674,1068,1007825,,0,0,0,0,0,0,0,0,1763478086748750
polynomial-evaluation,rust,release,-20,4,process,7,9861090,135.136,26.004,,5.491,,7871367647,24904,69402,918,1005860,,0,0,0,0,0,0,0,0,1763478096615721
polynomial-evaluation,rust,release,-20,4,process,8,9860947,135.116,25.967,,5.497,,7871243214,23634,64741,1454,1005339,,0,0,0,0,0,0,0,0,1763478106482523
polynomial-evaluation,rust,release,-20,4,process,9,9860925,136.069,26.941,,5.49,,7871217820,23758,64120,812,1005343,,0,0,0,0,0,0,0,0,1763478116349292
polynomial-evaluation,rust,release,-20,4,process,10,9860877,135.568,26.438,,5.49,,7871152685,23408,63778,733,1005191,,0,0,0,0,0,0,0,0,1763478126216004
